Title,Artist(s),Release Date,Genres,Length,Label,Songwriters,Producers
Lightnin' Strikes,Lou Christie,December 1965,Pop,3:05,MGM,"Lou Christie, Twyla Herbert",
Light My Fire,the Doors,"January 4, 1967 (1967-01-04) (album)
April 24, 1967 (single)","Psychedelic rock, [, 1, ], [, 2, ], baroque pop, [, 3, ], acid rock, [, 4, ], [, 5, ], jazz fusion, [, 6, ]","7:06 (album version)
2:52 (single version)",Elektra,"Jim Morrison, Robby Krieger, John Densmore, Ray Manzarek",Paul A. Rothchild
Like a G6,"Far East Movement, The Cataracs, Dev","April 13, 2010 (2010-04-13)","Electro-hop, [, 1, ]",3:38,"Cherrytree, Interscope","Far East Movement, Dev",The Cataracs
Like a Prayer (song),Madonna,"March 3, 1989 (1989-03-03)","Dance-pop, pop rock, gospel",5:41,", Sire, 
, Warner Bros.,",,"Madonna, Patrick Leonard"
Like a Virgin (song),Madonna,"October 31, 1984",Dance-pop,3:38,", Sire, 
, Warner Bros.,",,Nile Rodgers
Like Crazy (song),Jimin,"March 24, 2023",Synth-pop,3:32,Big Hit,"Pdogg, Blvsh, Chris James, Ghstloop, Jimin, RM, Evan","Pdogg, Ghstloop"
"Like That (Future, Metro Boomin and Kendrick Lamar song)","Future, Metro Boomin, Kendrick Lamar","March 26, 2024","Trap, hardcore hip hop",4:27,", Wilburn Holding, 
, Boominati, 
, Epic, 
, Republic,","Nayvadius Wilburn, Leland Wayne, Kendrick Duckworth, Rodney Oliver, Joe Cooley, Kobe Hood, Lorenzo Patterson",Metro Boomin
Listen to What the Man Said,Wings,16 May 1975 (1975-05-16),"Soft rock, pop rock, disco, [, 1, ]",3:57,Capitol,"Paul McCartney, Linda McCartney",Paul McCartney
Listen to Your Heart (Roxette song),Roxette,27 September 1988,Alternative rock,"5:28 (album version)
5:12 (radio edit)
4:05 (single edit)",", Parlophone, 
, EMI,","Per Gessle, Mats Persson",Clarence Öfwerman
Little Star (The Elegants song),The Elegants,1958,"Doo-wop, [, 1, ], [, 2, ], pop, [, 2, ]",2:42,Apt,"Vito Picone, Arthur Venosa",
Live to Tell,Madonna,"March 26, 1986",Pop,"5:51 (album version)
4:37 (single version)",", Sire, 
, Warner Bros.,","Madonna, Patrick Leonard","Madonna, Patrick Leonard"
Live Your Life (T.I. song),"T.I., Rihanna","September 8, 2008 (2008-09-08)","Hip hop, R&B, pop, [, 1, ]",5:38 (main version)4:01 (radio edit),"Grand Hustle, Atlantic","Dan Bălan, Clifford Harris, Makeba Riddick, Justin Smith","Just Blaze, Canei Finch"
Livin' la Vida Loca,Ricky Martin,"March 27, 1999 (1999-03-27)","Latin pop, dance",4:03,Columbia,"Draco Rosa, Desmond Child",Desmond Child
Livin' on a Prayer,Bon Jovi,October 1986,"Glam metal, [, nb 1, ], power pop, [, 4, ]",4:11 (album version)4:23 (Rock Band 2 edit)5:07 (DualDisc remix)5:16 (Crossroads re-record version),Mercury,"Jon Bon Jovi, Richie Sambora, Desmond Child",Bruce Fairbairn
Locked Out of Heaven,Bruno Mars,"October 1, 2012 (2012-10-01)","Reggae rock, pop rock",3:53,Atlantic,"Bruno Mars, Philip Lawrence, Ari Levine","The Smeezingtons, Mark Ronson, Jeff Bhasker, Emile Haynie"
Lollipop (Lil Wayne song),Lil Wayne,"March 13, 2008 (2008-03-13)","Dirty rap, electropop, trap","5:05 (explicit album version)
4:07 (clean album version)
2:47 (UK radio edit)",", Cash Money, 
, Universal Motown,","Dwayne Carter, Stephen Garrett, Darius Harrison, James Scheffer",Jim Jonsin
London Bridge (Fergie song),Fergie,"July 18, 2006 (2006-07-18)","Pop rap, [, 1, ]","4:01 (album version)
3:28 (single version)",", A&M, 
, Interscope, 
, will.i.am,","Stacy Ferguson, Jamal Jones, Sean Garrett, Mike Hartnett",Polow da Don
Lonely Boy (Paul Anka song),Paul Anka,"May 11, 1959",Pop,2:31,ABC-Paramount,Paul Anka,Don Costa
Looks Like We Made It,Barry Manilow,"April 20, 1977","Soft rock, [, 1, ]",3:33,Arista,"Richard Kerr, and, Will Jennings",Ron Dante
Look Away,Chicago,"September 9, 1988[1]",Rock,4:02,"Full Moon, , , Reprise",Diane Warren,Ron Nevison
Look What You Made Me Do,Taylor Swift,"August 24, 2017 (2017-08-24)","Electropop, dance-pop, progressive pop, synth-punk",3:31,Big Machine,"Taylor Swift, Jack Antonoff, Fred Fairbrass, Richard Fairbrass, Rob Manzoli","Taylor Swift, Jack Antonoff"
Lose Control (Teddy Swims song),Teddy Swims,"June 23, 2023","Soul, rock, [, 1, ]","3:30 (album version)
2:29 (radio edit)",Warner,"Jaten Dimsdale, Joshua Coleman, Julian Bunetta, Marco Rodriguez-Diaz Jr., John Sudduth","Ammo, Julian Bunetta"
Lose Yourself,Eminem,"October 28, 2002 (2002-10-28)","Hip hop, rap rock, hardcore hip hop","5:20 (album version)
5:26 (single version)
4:27 (radio edit)","Shady, Interscope",,"Eminem, Jeff Bass, Luis Resto"
Lose You to Love Me,Selena Gomez,"October 23, 2019 (2019-10-23)",Pop,3:26,Interscope,"Selena Gomez, Julia Michaels, Justin Tranter, Mattias Larsson, Robin Fredriksson","Mattman & Robin, Finneas"
Lost in Emotion,Lisa Lisa and Cult Jam,July 1987,"Freestyle, dance-pop, [, 1, ]","5:07 (album version)
4:36 (single mix version)",Columbia,"Curt Bedeau, Gerry Charles, Hugh L Clarke, Brian George, Lucien George, Paul George",Full Force
Lost in Your Eyes,Debbie Gibson,"January 6, 1989 (1989-01-06)[1]",Pop,"3:34 (album version)
3:51 (video version)",Atlantic,Deborah Gibson,Fred Zarr
Love Bites (Def Leppard song),Def Leppard,4 July 1988,Glam metal,5:46,Mercury,"Robert John ""Mutt"" Lange, Phil Collen, Steve Clark, Joe Elliott, Rick Savage","Robert John ""Mutt"" Lange"
Love Child (song),Diana Ross & the Supremes,"September 30, 1968","Psychedelic soul, [, 1, ], psychedelic pop, [, 1, ]",2:54 (album/single version )3:14 (2003 remix),"Motown,  , M 1135","R. Dean Taylor, Frank Wilson, Pam Sawyer, Deke Richards","The Clan, (R. Dean Taylor, Frank Wilson, Pam Sawyer, Deke Richards) and, Henry Cosby"
Love Hangover,Diana Ross,"March 16, 1976","Disco, [, 1, ], [, 2, ], pop, [, 1, ]",7:483:46 (single edit),"Motown, M 1392","Marilyn McLeod, Pamela Sawyer",Hal Davis
Love in This Club,"Usher, Young Jeezy","February 22, 2008","R&B, hiphop, pop, [, 1, ]",4:19,LaFace,"Usher Raymond, Jamal Jones, Jay Jenkins, Lamar Taylor, Ryon Lovett, Keith Thomas, Darnell Dalton, Keri Hilson",Polow da Don
Love Is Here and Now You're Gone,the Supremes,"January 11, 1967 (U.S.)","Pop, R&B",2:45,"Motown,  – , M 1103",Holland–Dozier–Holland,"Brian Holland, Lamont Dozier"
Love Machine (The Miracles song),The Miracles,October 1975,Disco,2:55 (single version)  6:52 (album version),"Tamla,  (T 54262)","William Griffin, Warren Moore",Freddie Perren
Love Me Do,the Beatles,"5 October 1962 (1962-10-05) (UK)
27 April 1964 (US)","Merseybeat, [, 1, ], pop, [, 2, ], R&B, [, 3, ], rock and roll, [, 4, ]",2:22,", Parlophone,  (UK), 
, Tollie,  (US),",Lennon–McCartney,George Martin
Love Rollercoaster,Ohio Players,"November 9, 1975","Funk, [, 1, ], disco, [, 2, ]",2:52 (single version)4:50 (album version),Mercury,"James Williams, Clarence Satchell, Leroy Bonner, Marshall Jones, Ralph Middlebrooks, Marvin Pierce, William Beck",Ohio Players
Love Somebody (Morgan Wallen song),Morgan Wallen,"October 18, 2024 (2024-10-18)","Country, soft rock",3:24,", Big Loud, 
, Republic, 
, Mercury,","Morgan Wallen, John Byron, Jacob Kasher Hindlin, Ryan Vojtesak, Ashley Gorley, Elof Loelv, Martina Sorbara, Nicholas Gale, Shaun Frank, Steve Francis Richard Mastroianni, Yaakov Gruzman","Joey Moi, Charlie Handsome"
Love's Theme,The Love Unlimited Orchestra,November 1973,"Philly soul, proto-disco, [, 1, ]",(Single) 3:30 (Album) 4:08,"20th Century, /, Pye International",Barry White,Barry White
Love Takes Time,Mariah Carey,"August 22, 1990 (1990-08-22)",Pop,3:49,Columbia,"Mariah Carey, Ben Margulies",Walter Afanasieff
Love Theme from Romeo and Juliet,Henry Mancini,May 1969,"Pop, [, 1, ], easy listening, [, 2, ]",2:29,RCA Victor,Nino Rota,Joe Reisman
Love the Way You Lie,"Eminem, Rihanna","June 18, 2010 (2010-06-18)[1]","Hip hop, pop rap",4:23,"Shady, Aftermath, Interscope","Marshall Mathers, Holly Hafermann, Alexander Grant","Alex da Kid, Makeba Riddick"
Love Train,the O'Jays,"December 20, 1972[1]","Proto-disco, [, 2, ], pop, [, 3, ]",6:15 (extended version); 2:59 (album version),Philadelphia International,"Kenneth Gamble, Leon Huff","Kenny Gamble, Leon Huff"
Love Will Keep Us Together,Neil Sedaka,1973,Pop,,MGM,,"Neil Sedaka, 10cc"
Love Will Lead You Back,Taylor Dayne,"January 12, 1990 (1990-01-12)","Pop, [, 1, ]",4:38,Arista,Diane Warren,Ric Wake
Love Will Never Do (Without You),Janet Jackson,"October 2, 1990 (1990-10-02)","Dance-pop, new jack swing","5:50 (album version/video mix)
4:35 (single version/radio edit)",A&M,Jimmy Jam and Terry Lewis,"Jimmy Jam and Terry Lewis, Janet Jackson"
Love Yourself,Justin Bieber,"December 7, 2015","Pop, [, 1, ], [, 2, ], folk, [, 3, ], blue-eyed soul, [, 4, ]",3:53,Def Jam,"Justin Bieber, Benjamin Levin, Ed Sheeran",Benny Blanco
Love You Inside Out,Bee Gees,April 1979,"Funk, [, 1, ], disco, [, 2, ], lounge, [, 2, ]","4:12  3:48 (7"" version)",RSO,"Barry, Robin & Maurice Gibb","Bee Gees, Albhy Galuten, Karl Richardson"
Lovin on Me,Jack Harlow,"November 10, 2023 (2023-11-10)","Pop rap, [, 1, ]",2:18,", Generation Now, 
, Atlantic,","Jackman Harlow, Ozan Yildirim, Sean Momberger, Nik Frascona, Nickie Jon Pabón, Delbert M Greer, Reginald Nelton","Oz, Momberger, Nik D"
Lovin' You,Minnie Riperton,"November 29, 1974","Soul, [, 2, ], pop ballad, [, 3, ]","3:20 (radio edit)[4]
3:41 (album version)",Epic,"Minnie Riperton, Richard Rudolph","Stevie Wonder, Scorbu Productions, [, 1, ]"
Low (Flo Rida song),"Flo Rida, T-Pain","October 9, 2007 (2007-10-09)",Crunk,3:50,", Atlantic, 
, Poe Boy,","Tramar Dillard, Faheem Najm, Montay Humphrey","DJ Montay, T-Pain"
Lucy in the Sky with Diamonds,the Beatles,26 May 1967[1],"Psychedelic pop, acid rock",3:28,Parlophone,Lennon–McCartney,George Martin
L'amour est bleu,Vicky Leandros,1967,,2:59,,,
Macarena,Los del Río,"1993 (original)
15 August 1995 (Bayside Boys mix)","Flamenco, pop, dance-pop, [, 1, ]","4:10 (1993 original)
4:12 (Bayside Boys mix)",RCA,"Rafael Ruiz Perdigones, Antonio Romero Monge",Los del Río
MacArthur Park (song),Richard Harris,April 1968,Pop,7:21,Dunhill,Jimmy Webb,Jimmy Webb
Mack the Knife,,,Moritat,,,,
Maggie May,Rod Stewart,July 1971,"Folk rock, [, 1, ], soft rock, [, 2, ]",5:50 (Album version W/ Henry Intro)5:14 (Single version),Mercury,"Rod Stewart, Martin Quittenton",Rod Stewart
Magic (Olivia Newton-John song),Olivia Newton-John,May 1980,"Pop, [, 1, ], disco, [, 2, ], soft rock, [, 3, ]",4:31,"MCA,  (US), Jet,  (UK)",John Farrar,John Farrar
Makes Me Wonder,Maroon 5,"March 27, 2007 (2007-03-27)","Alternative dance, [, 1, ], dance-rock, [, 2, ], pop rock, [, 2, ], funk, [, 3, ]",3:31,A&M Octone,"Adam Levine, Jesse Carmichael, Mickey Madden","Mark Endert, Maroon 5"
Make It with You,Bread,April 1970,"Pop, [, 1, ], soft rock, [, 2, ], easy listening, [, 3, ]",3:18,Elektra,David Gates,David Gates
Mama Told Me Not to Come,Eric Burdon and the Animals,March 1967 (1967-03),Roots rock,2:15,MGM,Randy Newman,Tom Wilson
Maneater (Hall & Oates song),Hall & Oates,"September 28, 1982 (Charted October 16)","Synth-pop, [, 1, ], [, 2, ], new wave, [, 3, ], R&B, [, 3, ], blue-eyed soul, [, 3, ], soft rock, [, 4, ]","4:313:28 (DJ 7"")6:00 (extended club mix)",RCA,"Sara Allen, Daryl Hall, John Oates","Daryl Hall, John Oates"
Maniac (Michael Sembello song),Michael Sembello,May 1983,"Synth-pop, [, 1, ], dance-pop, [, 2, ]","4:04 (soundtrack version)
4:18 (7-inch single/album version)
5:57 (12-inch single version)",", Warner Bros., 
, Casablanca,","Dennis Matkosky, Michael Sembello","Phil Ramone, Michael Sembello"
Man in the Mirror,Michael Jackson,January 1988[1],"Pop, [, 3, ], gospel, [, 4, ]","5:19 (album version)
5:04 (7"" single mix)",Epic,"Siedah Garrett, Glen Ballard","Quincy Jones, Michael Jackson (, co., )"
Maria Maria,"Santana, the Product G&B","September 14, 1999 (1999-09-14)",Latin hip hop,4:23,Arista,"Wyclef Jean, Jerry ""Wonda"" Duplessis, Carlos Santana, Karl Perazzo, Raul Rekow","Wyclef Jean, Jerry ""Wonda"" Duplessis"
Me and Bobby McGee,Janis Joplin,"January 12, 1971 (1971-01-12)","Blues rock, country rock",4:09 (single version)4:28 (album version),Columbia,"Kris Kristofferson, Fred Foster",Paul A. Rothchild
Me and Mrs. Jones,Billy Paul,13 September 1972[1],"Philadelphia soul, [, 3, ], [, 4, ]",4:45,Philadelphia International,"Kenny Gamble, Leon Huff, Cary Gilbert","Kenny Gamble, Leon Huff"
Miami Vice Theme,Jan Hammer,August 1985[1],"Electronic rock, [, 2, ]",2:26,MCA,Jan Hammer,Jan Hammer
"Michael, Row the Boat Ashore",The Highwaymen,September 1960 (1960-09),"Folk, [, 1, ]",2:57,United Artists,"Tony Saletan, traditional",Lou Adler
Mickey (Toni Basil song),Toni Basil,"January 3, 1982","New wave, [, 1, ], [, 2, ], [, 3, ], bubblegum pop, [, 2, ], [, 3, ], glam rock, [, 4, ]",4:12 (album version)3:36 (single version),", Chrysalis,  (US), 
, Radialchoice, , Virgin,  (UK, Canada),","Mike Chapman, Nicky Chinn","Greg Mathieson, [, 5, ], Trevor Veitch, [, 5, ]"
Midnight Train to Georgia,Gladys Knight & the Pips,August 1973,"Soul, [, 1, ], country soul, [, 2, ], R&B, [, 3, ], soft rock, [, 4, ]",4:38 (album version)3:55 (single version),Buddah,Jim Weatherly,"Tony Camillo, &, Gladys Knight & the Pips, Engineer/Mixer, Ed Stasium"
Missing You (John Waite song),John Waite,June 1984,"Soft rock, [, 1, ], [, 2, ], white soul, [, 3, ]",3:56,EMI America,"John Waite, Mark Leonard, Charles Sandford","John Waite, David Thoener, Gary Gersh"
Miss You Much,Janet Jackson,"August 21, 1989 (1989-08-21)[1]","Dance-pop, [, 2, ], new jack swing, [, 3, ]",4:12 (album version)3:52 (international edit),A&M,"James Harris III, Terry Lewis","Jimmy Jam and Terry Lewis, Janet Jackson"
Miss You (Rolling Stones song),the Rolling Stones,"10 May 1978 (US)
19 May 1978 (UK)[1]","Disco, [, 3, ], [, 4, ], [, 5, ], soul, [, 6, ], dance-rock, [, 7, ]",4:48 (album version)3:35 (7-inch)8:26 (12-inch),Rolling Stones,Jagger–Richards,The Glimmer Twins
MMMBop,Hanson,"April 15, 1997 (1997-04-15)","Pop rock, teen pop","4:28 (album version)
3:58 (single version)",Mercury,"Isaac Hanson, Taylor Hanson, Zac Hanson","Dust Brothers, Stephen Lironi"
"Monday, Monday",the Mamas & the Papas,March 1966,"Pop, [, 1, ], folk rock, [, 1, ]",3:25 (album version)3:09 (Single Version),Dunhill,John Phillips,Lou Adler
Money for Nothing (song),Dire Straits,28 June 1985 (1985-06-28)[1],Pop rock,"8:22 (album version)
7:04 (LP edit)
4:38 (single edit)
4:06 (radio edit)",Vertigo,"Mark Knopfler, Sting","Neil Dorfsman, Mark Knopfler"
Money Maker,"Ludacris, Pharrell","July 17, 2006 (U.S. radio)",Dirty rap,,"DTP, , , Def Jam","Christopher Bridges, Pharrell Williams",The Neptunes
Monkey (song),George Michael,4 July 1988 (1988-07-04),"Dance-rock, synth-funk, [, 1, ]","5:02 (album version)
4:47 (single version)",Columbia,George Michael,"George Michael, Jimmy Jam and Terry Lewis"
Monster Mash,"Bobby ""Boris"" Pickett","August 25, 1962","Novelty, pop, Halloween, rock and roll, [, 1, ]",3:14,"Garpax,  (US), London,  (UK)","Bobby Pickett, Lenny Capizzi",Gary S. Paxton
Montero (Call Me by Your Name),Lil Nas X,"March 26, 2021 (2021-03-26)","Hip hop, electropop",2:17,Columbia,"Montero Hill, Denzel Baptiste, David Biral, Omer Fedi, Rosario Lenzo, [, 1, ]","Take a Daytrip, Omer Fedi, Roy Lenzo"
Mony Mony,Tommy James and the Shondells,March 1968,"Garage rock, [, 1, ], rock and roll, [, 2, ], R&B, [, 2, ], [, 3, ]",2:45,Roulette,"Tommy James, Bo Gentry, Ritchie Cordell, Bobby Bloom, [, 4, ]","Bo Gentry, Ritchie Cordell, [, 4, ]"
Moody River,Pat Boone,May 1961,Country pop,2:41,Dot,Gary D. Bruce,Randy Wood
Mood (24kGoldn song),"24kGoldn, Iann Dior","July 24, 2020 (2020-07-24)","Pop rap, rap rock",2:20,", Records, 
, Columbia,","Golden Von Jones, Michael Olmo, Keegan Bach, Omer Fedi, Blake Slatkin","KBeaZy, Fedi, Slatkin"
More Than Words,Extreme,"March 12, 1991 (1991-03-12)","Glam metal, [, 1, ], soft rock, [, 2, ], acoustic rock, [, 3, ]",5:33 (album version)4:09 (radio edit),A&M,"Gary Cherone, Nuno Bettencourt",Michael Wagener
Mother-in-Law (song),Ernie K-Doe,1961,"New Orleans R&B, [, 2, ]",2:25,Minit,Allen Toussaint,Allen Toussaint
Moves like Jagger,"Maroon 5, Christina Aguilera","June 21, 2011 (2011-06-21)","Nu-disco, electropop, dance-pop",3:21,A&M Octone,"Adam Levine, Benny Blanco, Ammar Malik, Shellback","Shellback, Benny Blanco"
Mo Money Mo Problems,"The Notorious B.I.G., Puff Daddy, Mase","July 15, 1997 (1997-07-15)","Hip hop, [, 1, ]",4:17,"Bad Boy, Arista","Christopher Wallace, Mason Betha, Nile Rodgers, Bernard Edwards","Stevie J, Sean ""Puffy"" Combs"
"Mrs. Brown, You've Got a Lovely Daughter",Herman's Hermits,April 1965,"Beat, pop, music hall, [, 1, ]",2:45,MGM,Trevor Peacock,Mickie Most
Mrs. Robinson,Simon & Garfunkel,"April 5, 1968 (1968-04-05)","Folk rock, [, 1, ]",4:02,Columbia,Paul Simon,"Paul Simon, Art Garfunkel, Roy Halee"
Mr. Blue,the Fleetwoods,1959,"Pop, [, 1, ]",2:26,"Dolton,  5",DeWayne Blackwell,Kearney Barton
Mr. Custer,Larry Verne,1960,Novelty,3:04,Era,"Al De Lory, Fred Darian, Joseph Van Winkle",
Mr. Lonely (Bobby Vinton song),Bobby Vinton,16 October 1964[1],Pop,2:40,Epic,"Bobby Vinton, Gene Allan","Bob Morgan, Arranged and conducted by, Robert Mersey"
Mr. Tambourine Man,Bob Dylan,"March 22, 1965 (1965-03-22)","Folk, [, 1, ]",5:32,Columbia,Bob Dylan,Tom Wilson
Ms. Jackson,Outkast,"October 24, 2000 (2000-10-24)","Hip hop, [, 1, ], R&B, [, 2, ]","4:30 (album version)
4:03 (radio edit)",", LaFace, 
, Arista,","André Benjamin, Antwan Patton, David Sheats",Earthtone III
Music (Madonna song),Madonna,"August 1, 2000 (2000-08-01)","Dance-pop, electro-funk, electropop, disco",3:44,", Maverick, 
, Warner Bros.,","Madonna, Mirwais Ahmadzaï","Madonna, Mirwais Ahmadzaï"
My All,Mariah Carey,"April 21, 1998 (1998-04-21)","Latin pop, R&B",3:51,Columbia,,"Mariah Carey, Walter Afanasieff"
My Boo (Usher and Alicia Keys song),"Usher, Alicia Keys","August 29, 2004 (2004-08-29)[1]",R&B,3:42,LaFace,"Usher Raymond IV, Alicia Keys, Jermaine Dupri, Adonis Shropshire, Manuel Seal","Jermaine Dupri, No I.D., (uncredited), [, 2, ]"
My Boyfriend's Back (song),the Angels,July 1963,"Pop, [, 1, ]",2:14 (45 version)2:16 (album cut),Smash,"Bob Feldman, Jerry Goldstein, Richard Gottehrer","Feldman, Goldstein and Gottehrer"
My Ding-a-Ling,Chuck Berry,July 1972 (1972-07),"Pop rock, novelty",4:18 / 11:33 (Full Version),"Chess,  2131",Dave Bartholomew,Esmond Edwards
My Eyes Adored You,Frankie Valli,October 1974 (1974-10)[1],"Soul, [, 2, ], soft rock, [, 2, ]",3:32,Private Stock,"Bob Crewe, Kenny Nolan",Bob Crewe
My Girl (The Temptations song),the Temptations,"December 21, 1964 (1964-12-21)","Soul, R&B, pop, [, 1, ]",2:45,Gordy,"Smokey Robinson, Ronald White","Robinson, White"
My Guy,Mary Wells,"March 13, 1964","R&B, [, 1, ]",2:54,Motown,Smokey Robinson,Smokey Robinson
My Heart Has a Mind of Its Own,Connie Francis,1960,"Country, [, 1, ]",2:30,MGM,"Jack Keller, Howard Greenfield",
My Heart Will Go On,Celine Dion,"November 24, 1997",Pop,"4:40 (album version)
5:11 (soundtrack version)","Columbia, Epic",,"Walter Afanasieff, James Horner, Simon Franglen"
My Life Would Suck Without You,Kelly Clarkson,"January 13, 2009 (2009-01-13)","Pop, power pop, pop rock",3:31,RCA,"Max Martin, Lukasz Gottwald, Claude Kelly, Kelly Clarkson (uncredited), [, 1, ]","Martin, Dr. Luke"
My Love (Justin Timberlake song),"Justin Timberlake, T.I.","October 24, 2006 (2006-10-24)","Electro, -, R&B, hip hop, techno","4:42 (Single Version)
4:36 (Physical Version)
6:10 (Digital Version w/ Medley)",Jive,"Justin Timberlake, Tim Mosley, Nate ""Danja"" Hills, Clifford Joseph Harris","Timbaland, Justin Timberlake, Nate ""Danja"" Hills"
My Love (Paul McCartney and Wings song),Paul McCartney and Wings,23 March 1973 (1973-03-23),"Soft rock, [, 1, ], [, 2, ], lounge, [, 3, ]",4:07,Apple,"Paul McCartney, Linda McCartney, [, 4, ]",Paul McCartney
My Love (Petula Clark song),Petula Clark,December 1965,"Pop, [, 1, ]",2:43,"Pye,  7N 17038 , (UK), Warner Bros.,  5684 , (US), Vogue,  STU 42234 , (DEN)",Tony Hatch,Tony Hatch
My Prerogative,Bobby Brown,"October 11, 1988",New jack swing,"4:51 (album version)
4:25 (single version)",MCA,"Bobby Brown, Teddy Riley, Gene Griffin","Teddy Riley, [, 1, ]"
My Sharona,the Knack,"June 18, 1979[1]","Power pop, [, 2, ], new wave, [, 3, ], garage rock, [, 4, ]",3:58 (single edit)4:52 (album version),Capitol,"Doug Fieger, Berton Averre",Mike Chapman
My Sweet Lord,George Harrison,23 November 1970 (US)15 January 1971 (UK),"Folk rock, gospel, pop, [, 1, ]",4:39,Apple,George Harrison,"George Harrison, Phil Spector"
My Universe (song),"Coldplay, BTS",24 September 2021 (2021-09-24),"Synth-pop, [, 2, ], pop rock, [, 3, ]","3:46 (album version)
3:48 (single version)
3:15 (radio edit)",", Parlophone, 
, Atlantic,","Guy Berryman, Jonny Buckland, Will Champion, Chris Martin, Max Martin, Oscar Holter, Bill Rahko, RM, Suga, J-Hope","Max Martin, Oscar Holter, Bill Rahko"
Na Na Hey Hey Kiss Him Goodbye,Steam,November 1969,Pop,4:08 (LP version)6:20 (long version)3:45 (45 version)2:59 (45 radio version),"Fontana,  F 1667 (, US, )","Paul Leka, Gary DeCarlo, Dale Frashuer",Paul Leka
Need You Tonight,INXS,21 September 1987 (1987-09-21),"Funk rock, [, 1, ], dance-rock, [, 2, ], new wave, [, 3, ]",3:00,WEA,"Andrew Farriss, Michael Hutchence",Chris Thomas
"Nel blu, dipinto di blu (song)",Domenico Modugno,1 February 1958 (1958-02-01),"Pop, [, 1, ], chanson, [, 1, ]",3:29,", Fonit,  (Italy), 
, Decca,  (US), 
, Oriole international,  (UK),",,
Never Gonna Give You Up,Rick Astley,27 July 1987[1],"Dance-pop, [, 3, ], [, 4, ], synth-pop, [, 5, ], blue-eyed soul, [, 6, ]","3:35 (album version)
3:32 (7"" vocal mix)
3:30 (instrumental version)",", RCA, 
, PWL, 
, BMG,",Stock Aitken Waterman,Stock Aitken Waterman
New Kid in Town,Eagles,"December 7, 1976[1]","Yacht rock, [, 2, ], country rock, [, 3, ]",5:04 (album version)4:49 (single version),Asylum,"Don Henley, Glenn Frey, JD Souther",Bill Szymczyk
Nice for What,Drake,"April 6, 2018 (2018-04-06)",Bounce,3:30,", Young Money, 
, Cash Money, 
, Republic,","Aubrey Graham, Shane Lindstrom, Alan Bergman, Marilyn Bergman, Dennis Coles, Robert Diggs, Gary Grice, Marvin Hamlisch, Lamont Hawkins, Lauryn Hill, Jason Hunter, Russell Jones, Clifford Smith, Corey Woods, Orville Hall, Phillip Price","40, Murda Beatz, Corey Litwin, Blaqnmild (, co., )"
Nice & Slow,Usher,"January 6, 1998 (1998-01-06)","R&B, soul",3:48,"LaFace, Arista","Brian Casey, Manuel Seal Jr., Jermaine Dupri, Usher Raymond",Jermaine Dupri
Night Fever,Bee Gees,January 1978 (US)[1],Disco,3:32,RSO,"Barry Gibb, Robin Gibb, Maurice Gibb","Bee Gees, Albhy Galuten, Karl Richardson"
Nothing Compares 2 U,Sinéad O'Connor,8 January 1990[1],"Pop, [, 3, ]",5:10,Chrysalis,Prince,"Sinéad O'Connor, Nellee Hooper, • Chris Birkett"
Nothing from Nothing,Billy Preston,"August 5, 1974 (August 5, 1974)","Soul, pop, [, 1, ]",2:38,A&M,"Billy Preston, Bruce Fisher",Billy Preston
Nothing's Gonna Stop Us Now,Starship,"January 19, 1987[1]","Soft rock, [, 2, ], synth-rock, [, 3, ]",4:29,", Grunt, 
, RCA,","Diane Warren, Albert Hammond",Narada Michael Walden
Nothin' on You,"B.o.B, Bruno Mars","December 15, 2009 (2009-12-15)","Pop rap, R&B, Southern hip hop","4:29 (album version)
3:42 (radio edit)",", Rebel Rock, 
, Grand Hustle, 
, Atlantic,","Bobby Simmons, Jr., Bruno Mars, Philip Lawrence, Ari Levine",The Smeezingtons
Not Afraid,Eminem,"April 27, 2010 (2010-04-27)","Hip hop, [, 1, ]",4:10 (album version) 3:54 (without first chorus),"Aftermath, Shady, Interscope","Marshall Mathers, Drake Cooper, Luis Resto, Matthew Samuels, Jordan Evans, Matthew Burnett","Boi-1da, Jordan Evans (add.), Matthew Burnett (add.), Eminem (add.)"
Not Like Us,Kendrick Lamar,"May 4, 2024 (2024-05-04)",West Coast hip-hop,4:33,Interscope,,"Mustard, Sounwave, Sean Momberger"
No Diggity,"Blackstreet, Dr. Dre, Queen Pen","July 29, 1996 (1996-07-29)[1]","R&B, hip hop",5:03 (album version)4:27 (music video),Interscope,"Teddy Riley, Chauncey Hannibal, Lynise Walters, Andre Young, William Stewart, Bill Withers, Richard Vick","Teddy Riley, William ""Skylz"" Stewart"
No More Tears (Enough Is Enough),"Barbra Streisand, Donna Summer",October 1979 (1979-10),"Disco, soul","4:39 (radio edit)
8:19 (Wet album version)
11:43 (On the Radio/12"" version)",", Columbia, 
, Casablanca,","Paul Jabara, Bruce Roberts","Gary Klein, Giorgio Moroder, Harold Faltermeyer, (Summer 12"" version)"
No One (Alicia Keys song),Alicia Keys,"October 9, 2007 (2007-10-09)","R&B, [, 1, ]",4:13,J,"Alicia Keys, Kerry Brothers Jr., George M. Harry","Alicia Keys, Kerry ""Krucial"" Brothers"
