Title,Artist(s),Release Date,Genres,Length,Label,Songwriters,Producers,Lyricist(s),Composer(s)
"Hello, Goodbye",the Beatles,24 November 1967,"Pop, psychedelia",3:27,"Parlophone 
Capitol",Lennon–McCartney,George Martin,,
Please Don't Go (KC and the Sunshine Band song),KC and the Sunshine Band,"July 12, 1979","Soul, R&B",3:43,TK,Harry Wayne Casey / Richard Finch,Harry Wayne Casey / Richard Finch,,
Don't Break the Heart That Loves You,Connie Francis,January 1962,Country,2:58,MGM Records K 13059,"Benny Davis, Murray Mencher","Danny Davis, Arnold Maxin",,
Baby Don't Get Hooked on Me,Mac Davis,July 1972,Country pop,3:06,Columbia,Mac Davis,Rick Hall,,
Time After Time (Cyndi Lauper song),Cyndi Lauper,"March 12, 1984 March 27, 1984",Popnew wavesoft rock,4:01,EpicPortrait,Cyndi LauperRob Hyman,Rick Chertoff,,
Rush Rush (Paula Abdul song),Paula Abdul,"April 24, 1991",PopR&B,4:56,Virgin,Peter Lord,Peter Lord & Vernon Jeffrey Smith,,
Slow Motion (Juvenile song),"Juvenile, Soulja Slim","March 1, 2004",Dirty rap,4:08,Cash MoneyUniversal,"Terius Gray
James Tapp, Jr.",Dani Kartel,,
(I've Had) The Time of My Life,"Bill Medley, Jennifer Warnes","July 10, 1987",Dance-rocksoft rock,464:50,RCA,John DeNicolaDonald MarkowitzFranke Previte,Michael Lloyd,,
Help! (song),the Beatles,19 July 1965,Folk rock,2:18,"Parlophone 
Capitol",Lennon–McCartney,George Martin,,
I Can't Get Next to You,the Temptations,"July 30, 1969","Funk, psychedelic soul",2:51,GordyG 7093,Norman WhitfieldBarrett Strong,Norman Whitfield,,
Heart of Gold (Neil Young song),Neil Young,January 1972,Folk rockcountry rocksoft rock,3:07,Reprise,Neil Young,"Elliot Mazer
Neil Young[4]",,
I Just Want to Be Your Everything,Andy Gibb,April 1977,"Disco
funk",3:34,RSO,Barry Gibb,Gibb-Galuten-Richardson,,
Somethin' Stupid,"Frank Sinatra, Nancy Sinatra",March 1967,"Jazz pop
bolero",2:37,Reprise,C. Carson Parks[2],"Jimmy Bowen
Lee Hazlewood[2]",,
This Is How We Do It,Montell Jordan,"February 6, 1995","New jack swing
hip hop soul
R&B",4:37,"Rush Associated Labels
PMP
Def Jam","Montell Jordan
Oji Pierce
Ricky Walters","Montell Jordan
Oji Pierce",,
Bailamos,Enrique Iglesias,18 June 1999,Latin pop,3:38,"Fonovisa
Universal","Paul Barry
Mark Taylor","Mark Taylor
Brian Rawling",,
Baby Come Back (Player song),Player,"October 13, 1977","Soft rock
blue-eyed soul",3:28,"RSO 
Philips","Peter Beckett
J.C. Crowley","Dennis Lambert
Brian Potter",,
Last Night (Morgan Wallen song),Morgan Wallen,"January 31, 2023",Country pop,2:43,"Big Loud
Republic
Mercury","John Byron
Ashley Gorley
Jacob Kasher Hindlin
Ryan Vojtesak","Joey Moi
Charlie Handsome[1]",,
Incense and Peppermints,Strawberry Alarm Clock,"May 19, 1967",Psychedelic poppsychedelic rockacid rock,2:47,UNI,"John S. CarterTim Gilbert
(uncredited: Mark Weitz, Ed King)",Frank Slay,,
"Gypsys, Tramps & Thieves",Cher,"September 1, 1971","Pop
folk rock",2:36,"Kapp
MCA",Bob Stone,Snuff Garrett,,
Make It with You,Bread,April 1970,"Pop
soft rock
easy listening",3:18,Elektra,David Gates,David Gates,,
My Boo (Usher and Alicia Keys song),"Usher, Alicia Keys","August 29, 2004",R&B,3:42,LaFace,"Usher Raymond IV
Alicia Keys
Jermaine Dupri
Adonis Shropshire
Manuel Seal","Jermaine Dupri
No I.D. (uncredited)[2]",,
Could've Been (Tiffany song),Tiffany,"November 20, 1987",Pop,3:32,MCA Records,Lois Blaisch,George Tobin,,
There! I've Said It Again,Vaughn Monroe and his Orchestra,February 1945,Popular music,3:05,Victor 20-1637,"Redd Evans, David Mann",,,
The Boy Is Mine (Brandy and Monica song),"Brandy, Monica","May 4, 1998",R&B,4:54,Atlantic,"LaShawn Daniels
Rodney Jerkins
Fred Jerkins III
Japhe Tejeda
Brandy Norwood","Darkchild
Brandy
Dallas Austin",,
Good Luck Charm,Elvis Presley,"February 27, 1962",Rock and rollpop,2:27,RCA Victor[1],"Aaron Schroeder, Wally Gold[1]",Steve Sholes[1],,
We Didn't Start the Fire,Billy Joel,"September 18, 1989",Pop rock,4:29,Columbia,Billy Joel,Mick JonesBilly Joel,,
Black and White (Pete Seeger song),Three Dog Night,August 1972,Pop,3:51,Dunhill,"David I. Arkin, Earl Robinson",Richard Podolor,,
Love the Way You Lie,"Eminem, Rihanna","June 18, 2010","Hip hop
pop rap",4:23,ShadyAftermathInterscope,Marshall MathersHolly HafermannAlexander Grant,Alex da KidMakeba Riddick,,
Ghostbusters (song),Ray Parker Jr.,"June 8, 1984","Dance-pop
synth-rock",4:06,Arista,Ray Parker Jr.,Ray Parker Jr.,,
Grease (song),Frankie Valli,May 1978,Funkdiscopop,3:21,RSOWarner Bros.,Barry Gibb,Gibb-Galuten-Richardson,,
Downtown (Petula Clark song),Petula Clark,November 1964,Pop,3:05,"Pye 7N 15722 
Warner Bros. 5494",Tony Hatch,Tony Hatch,,
Black or White,Michael Jackson,"November 11, 1991","Pop rock
hip hop",3:22,Epic,"Michael Jackson
Bill Bottrell","Michael Jackson
Bill Bottrell",,
Africa (Toto song),Toto,"June 25, 1982 
October 7, 1982","Pop
synth-pop
soft rock
yacht rock",4:21,Columbia,,Toto,David Paich,David PaichJeff Porcaro
Part-Time Lover,Stevie Wonder,"August 24, 1985",Synth-popR&Bsoul,4:12,Tamla,Stevie Wonder,Stevie Wonder,,
Wind Beneath My Wings,Colleen Hewett,,Pop,,Avenue Records BA 223025,(L. Henley/J. Silbar),,,
Me and Bobby McGee,Janis Joplin,"January 12, 1971","Blues rock
country rock",4:09,Columbia,"Kris Kristofferson
Fred Foster",Paul A. Rothchild,,
Travelin' Man,Ricky Nelson,April 1961,"Pop
doo-wop",2:24,Imperial Records #5741,Jerry Fuller,Joe Johnson (Challenge Records),,
The Long and Winding Road,the Beatles,11 May 1970,"Pop
rock",3:40,Apple,Lennon–McCartney,Phil Spector,,
Sunshine Superman (song),Donovan,1 July 1966,"Psychedelic pop
folk rock
psychedelic folk
psychedelic rock",3:15,Epic,Donovan,Mickie Most,,
Yesterday (song),the Beatles,13 September 1965,"Chamber pop
pop rock",2:03,"Capitol , Parlophone",Lennon–McCartney,George Martin,,
Like a Prayer (song),Madonna,"March 3, 1989","Dance-pop
pop rock
gospel",5:41,"Sire
Warner Bros.",,"Madonna
Patrick Leonard",Madonna,Patrick Leonard
Panda (song),Desiigner,"December 15, 2015","Hip hop
trap",4:10,GOODDef Jam,Sidney Selby IIIAdnan Khan,Menace,,
Truth Hurts (song),Lizzo,"September 19, 2017 March 22, 2019",Traphip hoppop,2:53,"Atlantic
Nice Life","Melissa Jefferson
Eric Frederic
Jesse Saint John
Steven Cheung
Amina Bogle-Barriteau","Ricky Reed
Tele (co.)",,
Nothing from Nothing,Billy Preston,"August 5, 1974","Soul
pop",2:38,A&M,"Billy Preston
Bruce Fisher",Billy Preston,,
Do That to Me One More Time,Captain & Tennille,October 1979 January 1980,"Soft rock
easy listening
middle-of-the-road",3:45,Casablanca,Toni Tennille,Daryl Dragon,,
Bad Habit (Steve Lacy song),Steve Lacy,"June 29, 2022","R&B
bedroom pop
funk",3:52,RCA,"Steve Lacy
Diana Gordon
John Kirby
Britanny Fousheé
Matthew Castellanos",Steve Lacy,,
Burn (Usher song),Usher,"March 21, 2004",R&B,4:15,Arista Nashville,"Jermaine Dupri
Bryan-Michael Cox
Usher","Jermaine Dupri
Bryan Michael Cox",,
Wooden Heart,Elvis Presley,"23 September 1960  
10 March 1961  
November 1964","Pop
folk",2:03,RCA,"Fred Wise, Ben Weisman, Kay Twomey, Bert Kaempfert[1]",Steve Sholes[1],,
Right Round,"Flo Rida, Kesha","January 27, 2009","Pop-rap
EDM
electropop",3:27,Poe BoyAtlantic,Flo RidaDr. LukeKool KojakDJ Frank EPhilip LawrenceBruno MarsAaron Bay-SchuckPete BurnsSteve CoyWayne HusseyTim LeverMike Percy,Dr. LukeKool Kojak,,
Cheap Thrills (song),"Sia, Sean Paul",17 December 2015   11 February 2016,"Dancehall
pop",3:44,"Inertia
Monkey Puzzle
RCA","Sia Furler
Greg Kurstin
Sean Paul Henriques (remix)",Greg Kurstin,,
Love's Theme,The Love Unlimited Orchestra,November 1973,Philly soulproto-disco,3:30,20th Century/Pye International,Barry White,Barry White,,Barry White
Hero (Mariah Carey song),Mariah Carey,"October 18, 1993",Pop,4:17,Columbia,,Walter AfanasieffMariah Carey,Mariah Carey,Mariah CareyWalter Afanasieff
Sad Eyes (Robert John song),Robert John,April 1979,"Soft rock
doo-wop",4:12,EMI America,Robert John,George Tobin in association with Mike Piccirillo,,
You Should Be Dancing,Bee Gees,June 1976,Disco,4:16,RSO,Barry GibbRobin GibbMaurice Gibb,"Bee Gees, Albhy Galuten, Karl Richardson",,
My Love (Justin Timberlake song),"Justin Timberlake, T.I.","October 24, 2006","Electro-R&B
hip hop
techno",4:42,Jive,"Justin TimberlakeTim MosleyNate ""Danja"" HillsClifford Joseph Harris","TimbalandJustin TimberlakeNate ""Danja"" Hills",,
Slime You Out,"Drake, SZA","September 15, 2023",R&B,5:10,"OVO
Republic","Aubrey Graham
Solána Rowe
Noel Cadastre
Noah Shebib
Benjamin Saint Fort
Dalton Tennant
Chris Powell
Grant Lapointe","Drake
Cadastre",,
Rich Men North of Richmond,Oliver Anthony Music,"August 8, 2023",Country,3:07,Self-released,Oliver Anthony,Oliver Anthony,,
What's My Name? (Rihanna song),"Rihanna, Drake","October 25, 2010",Electro-R&B,4:23,"Def Jam
SRP","Mikkel S. Eriksen
Tor Erik Hermansen
Ester Dean
Traci Hale
Aubrey Graham","Stargate
Kuk Harrell",,
Head to Toe (Lisa Lisa and Cult Jam song),Lisa Lisa and Cult Jam,March 1987,"Freestyle
soul",5:03,Columbia,"Curt Bedeau, Gerry Charles, Hugh L Clarke, Brian George, Lucien George, Paul George",Full Force,,
The Lion Sleeps Tonight,the Tokens,1961,"Rhythm and blues
doo-wop
folk",2:41,RCA Victor,"Solomon Linda
Hugo Peretti
Luigi Creatore
George David Weiss
Albert Stanton",,,
I Don't Have the Heart,James Ingram,"August 25, 1990","Pop, R&B",4:14,Warner Bros.,"Allan Rich, Jud Friedman","Thom Bell, James Ingram",,
Crack a Bottle,"Eminem, Dr. Dre, 50 Cent","February 2, 2009",Hip hop,5:15,AftermathShadyInterscope,"Marshall MathersAndre YoungCurtis JacksonMark BatsonDawaun ParkerTrevor Lawrence, Jr.Jean Renard",Dr. Dre,,
Ain't No Mountain High Enough,"Marvin Gaye, Tammi Terrell","April 20, 1967","Pop
soul",2:28,Tamla,Nickolas AshfordValerie Simpson,Harvey FuquaJohnny Bristol,,
How Can You Mend a Broken Heart,Bee Gees,28 May 1971,"Pop
folk rock
country soul",3:57,Polydor Atco,"Barry Gibb
Robin Gibb","Robert Stigwood
Bee Gees",,
Waterfalls (TLC song),TLC,May 1995 July 1995,"R&B
hip hop
pop",4:40,"LaFace
Arista","Marqueze Etheridge
Lisa Lopes
Organized Noize",Organized Noize,,
Shape of You,Ed Sheeran,6 January 2017,"Pop
dancehall
tropical house",3:54,"Asylum
Atlantic","Ed Sheeran
Johnny McDaid
Kandi Burruss
Kevin Briggs
Steve Mac
Tameka Cottle","Ed Sheeran
Steve Mac",,
With Arms Wide Open,Creed,"April 18, 2000",,4:36,"Wind-up
Epic","Scott Stapp
Mark Tremonti","Ron Saint Germain
John Kurzweg",,
Upside Down (Diana Ross song),Diana Ross,"June 18, 1980","Disco
pop",4:05,Motown,"Nile Rodgers
Bernard Edwards","Nile Rodgers
Bernard Edwards",,
It's Gonna Be Me,NSYNC,"June 13, 2000",Pop,3:11,Jive,"Max Martin
Andreas Carlsson
Rami",Rami,,
All 4 Love,Color Me Badd,"July 22, 1991",New jack swing,3:30,GiantReprise,Bryan AbramsMark CalderonSteve CropperIsaac HayesHoward ThompsonKevin ThorntonSam Watters,Howie Tee,,
Mama Told Me Not to Come,Eric Burdon and the Animals,March 1967,Roots rock,2:15,MGM,Randy Newman,Tom Wilson,,
Got to Give It Up,Marvin Gaye,"March 15, 1977","Funk
disco
soul",4:12,Tamla,Marvin Gaye,Art Stewart,,
What a Fool Believes,Kenny Loggins,"July 12, 1978",Soft rock,3:37,Columbia,"Kenny Loggins
Michael McDonald",Bob James,,
Groovin',the Young Rascals,"April 10, 1967","Blue-eyed soul
baião",2:30,Atlantic,"Felix Cavaliere
Eddie Brigati",The Rascals,,
Bump n' Grind (R. Kelly song),R. Kelly,"January 28, 1994",R&B,4:14,Jive,Robert Kelly,R. Kelly,,
Sukiyaki (song),Kyu Sakamoto,15 October 1961,"Kayōkyoku
orchestral pop",3:05,"Toshiba-EMI 
Capitol/EMI 
HMV/EMI",,Kōji Kusano,Rokusuke Ei,Hachidai Nakamura
Everything Is Beautiful,Ray Stevens,March 1970,Popcountrysoft rock,3:29,Barnaby,Ray Stevens,Ray Stevens,,
For You Blue,the Beatles,11 May 1970,Country blues,2:32,Apple,George Harrison,Phil Spector,,
The First Night,Monica,"July 28, 1998",,3:55,Arista,"Jermaine Dupri
Pam Sawyer
Marilyn McLeod
Tamara Savage",Jermaine Dupri,,
The Way We Were (song),Barbra Streisand,"September 27, 1973","Pop
soft rock
easy listening",3:29,Columbia,Alan BergmanMarilyn BergmanMarvin Hamlisch,Marty Paich,,
3 (Britney Spears song),Britney Spears,"September 29, 2009","Electropop
dance-pop",3:33,Jive,,"Max Martin
Shellback",Max Martin,"Max Martin
Karl Schuster
Tiffany Amber"
Texas Hold 'Em (song),Beyoncé,"February 11, 2024","Country pop
western
soul",3:53,"Parkwood
Columbia",,"Beyoncé
Killah B
Nathan Ferraro","Beyoncé
Elizabeth Lowell Boland
Megan Bülow","Brian Bates
Nathan Ferraro
Raphael Saadiq
Dahiana Martinez (Vrita B)"
How You Remind Me,Nickelback,"July 17, 2001",Post-grungealternative rockhard rock,3:43,Roadrunner,,Rick ParasharNickelback,Chad Kroeger,Nickelback
Stand Up (Ludacris song),"Ludacris, Shawnna","August 19, 2003",Hip hop,3:33,Disturbing tha PeaceIsland Def Jam Music Group,Christopher BridgesKanye West,WestLudacris (co.),,
I Can't Help Myself (Sugar Pie Honey Bunch),Four Tops,"April 23, 1965","Soul, pop",2:46,Motown,Holland–Dozier–Holland,"Brian Holland
Lamont Dozier
Eddie Holland",,
(They Long to Be) Close to You,the Carpenters,"May 14, 1970","Easy listening
soft pop",4:33,A&M,"Burt Bacharach
Hal David",Jack Daugherty,,
Everything She Wants,Wham!,3 December 1984,"Synth-pop
R&B",5:01,Columbia,George Michael,George Michael,,
Can't Nobody Hold Me Down,"Puff Daddy, Mase","January 7, 1997",Hip hop,3:52,Bad BoyArista,Mason Betha[1],"Nashiem MyrickCarlos BroadySean ""Puffy"" CombsStevie J",,
Let It Be (song),the Beatles,6 March 1970,"Rock
pop
soft rock",3:50,Apple,Lennon–McCartney,"George Martin (single version)
Phil Spector (album version)",,
"Like That (Future, Metro Boomin and Kendrick Lamar song)","Future, Metro Boomin, Kendrick Lamar","March 26, 2024","Trap
hardcore hip hop",4:27,"Wilburn Holding
Boominati
Epic
Republic","Nayvadius Wilburn
Leland Wayne
Kendrick Duckworth
Rodney Oliver
Joe Cooley
Kobe Hood
Lorenzo Patterson",Metro Boomin,,
Shallow (Lady Gaga and Bradley Cooper song),"Lady Gaga, Bradley Cooper","September 27, 2018","Rock
folk-pop
country",3:37,Interscope,"Lady Gaga
Andrew Wyatt
Anthony Rossomando
Mark Ronson","Lady Gaga
Benjamin Rice",,
Johnny Angel (song),Shelley Fabares,February 1962,Pop,2:19,Colpix,Lyn Duddy and Lee Pockriss,Stu Phillips,,
Wishing Well (Terence Trent D'Arby song),Terence Trent D'Arby,"June 8, 1987 January 1988",Soulpopfunk,3:33,CBS,Terence Trent D'ArbySean Oliver,Terence Trent D'ArbyMartyn Ware,,
Give Me Everything,"Pitbull, Ne-Yo, Afrojack, Nayer","March 15, 2011","Hip house
pop rap
progressive house
EDM",4:12,"Polo Grounds
J
Mr. 305","Armando Pérez
Nick van de Wall
Shaffer Smith","Afrojack
DJ Buddha (co.)",,
How Am I Supposed to Live Without You,Laura Branigan,"July 1, 1983",Pop,4:29,Atlantic,"Michael Bolton
Doug James",Jack White,,
Stay (The Kid Laroi and Justin Bieber song),"the Kid Laroi, Justin Bieber",9 July 2021,"Electropop
pop rap
pop rock
synth-pop",2:21,"Grade A
Columbia","Charlton Howard
Justin Bieber
Magnus Høiberg
Charlie Puth
Omer Fedi
Blake Slatkin
Michael Mule
Isaac De Boni
Subhaan Rahmaan","Cashmere Cat
Charlie Puth
Omer Fedi
Blake Slatkin",,
S&M (song),Rihanna,"January 23, 2011",Eurodancehi-NRG,4:03,Def JamSRP,Mikkel S. EriksenTor Erik HermansenSandy WilhelmEster DeanBritney Spears (remix only)Laurence Tolhurst (uncredited)Robert Smith (uncredited),StargateSandy Vee,,
Ms. Jackson,Outkast,"October 24, 2000","Hip hop
R&B",4:30,"LaFace
Arista","André Benjamin
Antwan Patton
David Sheats",Earthtone III,,
Last Train to Clarksville,the Monkees,"August 16, 1966","Country rock
folk rock
jangle pop
pop rock",2:46,Colgems 1001,"Tommy Boyce
Bobby Hart","Tommy Boyce
Bobby Hart",,
Let Your Love Flow,The Bellamy Brothers,January 1976,"Southern rock
country rock",3:18,Warner Bros./Curb,Larry E. Williams,"Phil Gernhard
Tony Scotti",,
Psycho (Post Malone song),"Post Malone, Ty Dolla $ign","February 23, 2018",Hip hop,3:27,Republic,"Austin Post
Tyrone Griffin
Louis Bell","Post Malone
Louis Bell",,
Miss You (Rolling Stones song),the Rolling Stones,"10 May 1978 
19 May 1978","Disco
soul
dance-rock",4:48,Rolling Stones,Jagger–Richards,The Glimmer Twins,,
Running Scared (Roy Orbison song),Roy Orbison,March 1961,"Orchestral pop, rock",2:10,Monument 438,"""Running Scared"": Roy Orbison, Joe Melson""Love Hurts"": Boudleaux Bryant",Fred Foster,,
Dirty Diana,Michael Jackson,"April 18, 1988","Pop rock
hard rock
glam metal",4:52,Epic,Michael Jackson,"Quincy Jones
Michael Jackson (co.)",,
Everytime You Go Away,Hall & Oates,"July 29, 1980","Blue-eyed soul
gospel",5:23,RCA,Daryl Hall,Daryl HallJohn Oates,,
To Know Him Is to Love Him,The Teddy Bears,September 1958,Pop,2:18,Doré,Phil Spector[2],,,
Keep On Truckin' (song),Eddie Kendricks,August 1973,"Funk
disco
psychedelic soul",3:21,Tamla,"Leonard Caston Jr.
Anita Poree
Frank Wilson",Frank Wilson,,
Rock On (David Essex song),David Essex,August 1973,"Glam rock
rockabilly
dub
avant-pop",3:24,Columbia,David Essex,Jeff Wayne,,
Looks Like We Made It,Barry Manilow,"April 20, 1977",Soft rock,3:33,Arista,Richard Kerr and Will Jennings,Ron Dante,,
Black Beatles,"Rae Sremmurd, Gucci Mane",2016,Hip hoptrap,4:51,EarDrummersInterscope,Khalif BrownAaquil BrownRadric DavisMichael Williams,Mike WiLL Made It,,
You're Beautiful,James Blunt,18 May 2005,"Pop rock
soft rock
alternative rock",3:32,"Atlantic
Custard","James Blunt
Sacha Skarbek
Amanda Ghost",Tom Rothrock,,
Knock on Wood (Eddie Floyd song),Eddie Floyd,"July 25, 1966","Southern 
R&B
soul
funk",3:06,Stax,Eddie FloydSteve Cropper,Jim Stewart,,
Save the Best for Last,Vanessa Williams,"January 14, 1992",Pop • Soul • R&B,3:40,WingMercury,Phil GaldstonWendy WaldmanJon Lind,Keith Thomas,,
"Fallin' in Love (Hamilton, Joe Frank & Reynolds song)","Hamilton, Joe Frank & Reynolds","May 2, 1975","Soft rock
rhythm & blues",3:04,Playboy,"Dan Hamilton
Ann Hamilton",Jim Price,,
Heaven Is a Place on Earth,Belinda Carlisle,"September 14, 1987","Power pop
pop rock
synth-rock",4:06,MCA,"Rick Nowels
Ellen Shipley",Rick Nowels,,
"December, 1963 (Oh, What a Night)",the Four Seasons,December 1975,"Disco
doo-wop
pop
soft rock",3:20,"Warner Bros.
Curb","Bob Gaudio
Judy Parker",Bob Gaudio,,
I Knew You Were Waiting (For Me),"Aretha Franklin, George Michael",23 January 1987,"Dance-pop
gospel
soul",4:01,Arista,"Simon Climie
Dennis Morgan",Narada Michael Walden,,
Annie's Song,John Denver,June 1974,Country,2:58,RCA,John Denver,Milt Okun,,
California Gurls,"Katy Perry, Snoop Dogg","May 7, 2010","Bubblegum pop
disco-pop
funk-pop",3:56,Capitol,"Katy Perry
Lukasz Gottwald
Max Martin
Benjamin Levin
Bonnie McKee
Calvin Broadus","Dr. Luke
Benny Blanco
Max Martin",,
Ring My Bell,Anita Ward,1979,"Disco
dance",4:28,Juana Records,Frederick Knight,Frederick Knight,,
True Colors (Cyndi Lauper song),Cyndi Lauper,"August 15, 1986",Synth-rock,3:46,Epic,"Tom Kelly
Billy Steinberg","Cyndi Lauper
Lennie Petze",,
When I Was Your Man,Bruno Mars,"January 15, 2013",Pop,3:34,Atlantic,"Bruno Mars
Philip Lawrence
Ari Levine
Andrew Wyatt",The Smeezingtons,,
My Guy,Mary Wells,"March 13, 1964",R&B,2:54,Motown,Smokey Robinson,Smokey Robinson,,
Amazed,Lonestar,"March 22, 1999",Country,4:00,BNA,Marv GreenChris LindseyAimee Mayo,Dann HuffBrian Tankersley (remix),,
Hey Jude,the Beatles,26 August 1968,Rockpoppop rock,7:12,Apple,Lennon–McCartney,George Martin,,
Hips Don't Lie,"Shakira, Wyclef Jean",14 February 2006,Latin popreggaetonsalsacumbia,3:38,Epic,,ShakiraJerry DuplessisWyclef Jean,ShakiraWyclef Jean,ShakiraOmar AlfannoLaTavia ParkerLuis DíasJerry DuplessisWyclef JeanArchie Pena
Please Mr. Postman,the Marvelettes,"August 21, 1961","Pop
soul
doo-wop",2:31,Tamla,"Georgia Dobbins
William Garrett
Brianbert (Brian Holland & Robert Bateman)",Brianbert,,
In My Feelings,Drake,"July 10, 2018","Hip hop, Bounce",3:37,"Young Money
Cash Money
Republic","Aubrey Graham
Benny Workman
Darius Harrison
Nick Kobe
Caresha Brownlee
Jatavia Johnson
Stephen Garrett
James Scheffer
Rex Zamor
Dwayne Carter, Jr.
Ibra Ake
Renetta Lowe-Bridgewater
Orville Hall
Phillip Price
Noah Shebib","TrapMoneyBenny
Blaqnmild",,
Rude Boy (Rihanna song),Rihanna,"February 5, 2010","Reggae
dancehall
electro-R&B",3:43,"Def Jam
SRP","Robyn Fenty
Mikkel S. Eriksen
Tor Erik Hermansen
Ester Dean
Makeba Riddick
Rob Swire","Stargate
Travis George",,
How Will I Know,Whitney Houston,"November 22, 1985","Synth-funk
dance-pop",4:30,Arista,"George Merrill
Shannon Rubicam
Narada Michael Walden",Narada Michael Walden,,
"Fly, Robin, Fly",Silver Convention,September 1975,DiscoEuro discopop,3:50,JupiterMidland International,Sylvester LevayStephan Prager,Stephan Prager,,
The Sign (song),Ace of Base,1 November 1993,Techno-reggaeEuropoppop,3:08,"Arista
Mega",Jonas Berggren,"Berggren
Denniz Pop
Douglas Carr",,
Pop Muzik,M,16 March 1979,New waveart popsynth-popdisco,3:21,MCAEMISire,Robin Scott,Robin Scott,,
Take My Breath Away,Berlin,June 1986,Synth-pop,4:13,Columbia,,Giorgio Moroder,Tom Whitlock[3],Giorgio Moroder
Lady Marmalade,Labelle,"November 5, 1974","Soul
disco
funk",3:15,Epic,"Bob Crewe
Kenny Nolan","Allen Toussaint
Vicki Wickham",,
Dancing Queen,ABBA,16 August 1976,"Disco
Europop",3:50,"Polar
Epic
Atlantic","Benny Andersson
Björn Ulvaeus
Stig Anderson","Benny Andersson
Björn Ulvaeus",,
Just My Imagination (Running Away with Me),The Temptations,"January 14, 1971","Soul
R&B",3:54,Gordy,Norman WhitfieldBarrett Strong,Norman Whitfield,,
Mood (24kGoldn song),"24kGoldn, Iann Dior","July 24, 2020","Pop rap
rap rock",2:20,"Records
Columbia","Golden Von Jones
Michael Olmo
Keegan Bach
Omer Fedi
Blake Slatkin","KBeaZy
Fedi
Slatkin",,
Faith (George Michael song),George Michael,12 October 1987,"Pop
rock and roll
rockabilly
R&B",3:16,Columbia,George Michael,George Michael,,
I Will Always Love You (Whitney Houston recording),Whitney Houston,"November 2, 1992",PopsoulR&B,4:31,Arista,Dolly Parton,David Foster,,
I Wanna Love You (Akon song),"Akon, Snoop Dogg","October 5, 2006","Hip hop
R&B",2:59,"SRC
Universal
Konvict
UpFront
Geffen
Doggystyle","Cordozar Broadus
Aliaune 'Akon' Thiam",Akon,,
Sailing (Christopher Cross song),Christopher Cross,"May 27, 1980","Soft rock
yacht rock",4:14,Warner Bros.,Christopher Cross,Michael Omartian,,
Venus (Frankie Avalon song),Frankie Avalon,January 1959,Pop,2:20,Chancellor,Ed Marshall,,,
Kiss (Prince song),"Prince, the Revolution","February 5, 1986","Funk
pop",3:38,"Paisley Park
Warner Bros.",Prince,Prince,,
"Help Me, Rhonda",the Beach Boys,"March 8, 1965",Rock,3:10,Capitol,,Brian Wilson,"Brian Wilson, Mike Love",Brian Wilson
Kiss from a Rose,Seal,18 July 1994,"Rock
soul
baroque pop",4:47,"ZTT
Sire
Warner Bros.",Seal Samuel,Trevor Horn,,
The Night the Lights Went Out in Georgia,Vicki Lawrence,7 November 1972,Country pop,3:40,Bell,Bobby Russell,Snuff Garrett,,
Thank God I'm a Country Boy,John Denver,March 1975,"Country
soft rock",132:47,RCA Victor,John Martin Sommers,Milton Okun,,
Promiscuous (song),"Nelly Furtado, Timbaland","April 25, 2006",Electropopdance-pophip hop,4:02,GeffenMMG,"Timothy ""Attitude"" Clayton
Tim Mosley
Nelly Furtado
Nate Hills","Timbaland
Danja",,
I'm a Believer,the Monkees,November 1966,"Pop rock
blue-eyed soul",2:47,Colgems,Neil Diamond,Jeff Barry,,
Music (Madonna song),Madonna,"August 1, 2000","Dance-pop
electro-funk
electropop
disco",3:44,"Maverick
Warner Bros.","Madonna
Mirwais Ahmadzaï","Madonna
Mirwais Ahmadzaï",,
I Want to Know What Love Is,Foreigner,"November 21, 1984  November 30, 1984",Soft rock,6:23,Atlantic,Mick Jones,"Mick Jones
Alex Sadkin",,
On Bended Knee,Boyz II Men,"November 11, 1994",R&B,5:29,Motown,Jimmy Jam and Terry Lewis,Jimmy Jam and Terry Lewis,,
Praying for Time,George Michael,13 August 1990,Pop,4:41,Epic,George Michael,George Michael,,
You Needed Me,Anne Murray,May 1978,Soft rock,3:41,Capitol 4574,Randy Goodrum,Jim Ed Norman,,
Candy Shop,"50 Cent, Olivia","February 8, 2005",East Coast hip hop,3:29,"Interscope
Aftermath
Shady
G-Unit","Curtis Jackson
Scott Storch",Scott Storch,,
Eye of the Tiger,Survivor,May 1982,"Hard rock
AOR",3:45,EMIScotti Brothers,Frankie SullivanJim Peterik,Frankie SullivanJim Peterik,,
Nothin' on You,"B.o.B, Bruno Mars","December 15, 2009","Pop rap
R&B
Southern hip hop",4:29,"Rebel Rock
Grand Hustle
Atlantic","Bobby Simmons, Jr.
Bruno Mars
Philip Lawrence
Ari Levine",The Smeezingtons,,
Turn! Turn! Turn!,the Byrds,"October 1, 1965","Folk rock
jangle pop",3:49,Columbia,Pete Seeger (words from the Book of Ecclesiastes),Terry Melcher,,
Tik Tok (song),Kesha,"August 7, 2009",Dance-popelectropop,3:20,RCA,"Kesha Sebert
Lukasz Gottwald
Benjamin Levin","Dr. Luke
Benny Blanco",,
Love Will Lead You Back,Taylor Dayne,"January 12, 1990",Pop,4:38,Arista,Diane Warren,Ric Wake,,
