Title,Artist(s),Release Date,Genres,Length,Label,Songwriters,Producers
"Oh, Pretty Woman",,"August 15, 1964","Rock and roll, country",2:55,Monument,"Roy Orbison, Bill Dees",Fred Foster
Old Town Road,,"December 3, 2018 (2018-12-03) (original)April 5, 2019 (Billy Ray Cyrus remix)","Country rap, country trap, Southern hip hop",1:53 (original version)2:37 (Billy Ray Cyrus remix),Columbia,"Montero Hill, Trent Reznor, Atticus Ross, Kiowa Roukema","YoungKio, Trent Reznor, Atticus Ross"
OMG (Usher song),,"March 22, 2010","Dance-pop, electropop, R&B","4:45 (album version w/o will.i.am)
4:28 (radio edit)",LaFace,William Adams,will.i.am
On Bended Knee,,"November 11, 1994",R&B,5:29,Motown,Jimmy Jam and Terry Lewis,Jimmy Jam and Terry Lewis
On My Own (Patti LaBelle and Michael McDonald song),,"February 23, 1986",Pop,4:50,MCA,"Burt Bacharach, Carole Bayer Sager","Burt Bacharach, Carole Bayer Sager"
One Bad Apple,,"November 14, 1970",Bubblegum,2:45,MGM,George Jackson,
One Dance,,"April 5, 2016","Dancehall, afrobeats, pop, UK funky",2:53,"Young Money, Cash Money, Republic","Aubrey Graham, Paul Jefferies, Ayodeji Balogun, Noah Shebib, Errol Reid, Luke Reid, Kyla Smith, Corey Johnson, Logan Sama, [, 1, ]","Nineteen85, 40, WizKid, Sarz, DJ Maphorisa"
One More Night (Maroon 5 song),,"June 19, 2012 (2012-06-19)","Pop rock, reggae rock, electropop",3:39,A&M Octone,"Adam Levine, Shellback, Max Martin, Savan Kotecha","Shellback, Max Martin"
One More Night (Phil Collins song),,"24 January 1985 (US)
1 April 1985 (UK)",Soft rock,"4:51
4:22 (7"" version)",", Atlantic, 
, Virgin,",Phil Collins,"Phil Collins, Hugh Padgham"
One More Try (George Michael song),,11 April 1988 (1988-04-11),Blue-eyed soul,5:52,Columbia,George Michael,George Michael
One More Try (Timmy T song),,"October 24, 1990 (1990-10-24)","Pop, freestyle",3:29,"Quality, , Pump",Timothy Torres,Timothy Torres
One of These Nights (Eagles song),,"May 19, 1975","Rock, country rock, R&B, disco",4:55 (album)3:28 (single),Asylum,"Don Henley, Glenn Frey",Bill Szymczyk
One Sweet Day,,"November 14, 1995 (1995-11-14)","Pop, R&B",4:42,Columbia,,"Walter Afanasieff, Mariah Carey"
The One That You Love,,30 April 1981,Soft rock,4:17,Arista,Graham Russell,Harry Maslin
One Week (song),,"September 15, 1998 (1998-09-15)","Alternative rock, pop, rap rock, pop rock",2:48,Reprise,Ed Robertson,"Barenaked Ladies, David Leonard, Susan Rogers"
Only Girl (In the World),,"September 10, 2010 (2010-09-10)","Dance-pop, Eurodance",3:55,"Def Jam, SRP","Crystal Johnson, Mikkel S. Eriksen, Tor Erik Hermansen, Sandy Wilhelm","Stargate, Sandy Vee, Kuk Harrell"
Open Your Heart (Madonna song),,"November 12, 1986",Dance-pop,4:13,", Sire, 
, Warner Bros.,","Madonna, Gardner Cole, Peter Rafelson","Madonna, Patrick Leonard"
Opposites Attract,,"November 17, 1989 (1989-11-17)","Minneapolis funk, new jack swing, R&B","4:25 (album version)
3:45 (single version)",Virgin,Oliver Leiber,Oliver Leiber
Our Day Will Come,,December 1962,"R&B, bossa nova",2:32,Kapp,"Bob Hilliard, Mort Garson",Allen Stanton
Out of Touch,,"October 4, 1984","Dance-rock, synth-pop, new wave","4:21 (album version)
3:55 (single version)
4:33 (video version)",RCA Victor,"Daryl Hall, John Oates","Daryl Hall & John Oates, Bob Clearmountain"
Over and Over (Bobby Day song),,1958,Doo-wop,2:20,Class,Robert James Byrd,
Owner of a Lonely Heart,,24 October 1983 (1983-10-24),"Electronic rock, dance-rock, progressive pop, new wave","4:27 (album version)
3:50 (single version)
7:05 (extended remix)",Atco,"Trevor Rabin, Jon Anderson, Chris Squire, Trevor Horn",Trevor Horn
Paint It Black,,"7 May 1966 (1966-05-07) (US)
13 May 1966 (1966-05-13) (UK)","Raga rock, psychedelic rock",3:46,", Decca,  , 
, London,  ,",Jagger–Richards,Andrew Loog Oldham
Paint the Town Red (Doja Cat song),,"August 4, 2023 (2023-08-04)",Hip-hop,"3:51 (album version)
3:27 (radio edit)",", Kemosabe, 
, RCA,",,"Earl on the Beat, Rubin, Jean-Baptiste, DJ Replay"
Panda (song),,"December 15, 2015 (2015-12-15)","Hip hop, trap",4:10 (album version)3:46 (radio edit),"GOOD, Def Jam","Sidney Selby III, Adnan Khan",Menace
Papa Don't Preach,,"June 11, 1986",Dance-pop,4:29,", Sire, 
, Warner Bros.,",,"Madonna, Stephen Bray"
Papa Was a Rollin' Stone,,"May 9, 1972",Soul,3:25,Gordy,"Norman Whitfield, Barrett Strong",Norman Whitfield
Paperback Writer,,30 May 1966 (1966-05-30),"Hard rock, power pop, psychedelic rock","2:16 (stereo)
2:23 (mono)",", Capitol,  , 
, Parlophone,  ,",Lennon–McCartney,George Martin
Part of Me (Katy Perry song),,"February 13, 2012","Dance-pop, power pop, electropop",3:35,Capitol,"Katy Perry, Lukasz Gottwald, Max Martin, Bonnie McKee","Dr. Luke, Max Martin, Cirkut"
Part-Time Lover,,"August 24, 1985","Synth-pop, R&B, soul","4:12 (album version)3:43 (7"" version)8:20 (12"" version)",Tamla,Stevie Wonder,Stevie Wonder
Party Rock Anthem,,"January 25, 2011 (2011-01-25)",Hip house,"4:23 (main/album version)
3:52 (radio edit 1)
3:27 (radio edit 2)",", will.i.am, 
, Cherrytree, 
, Interscope, 
, Panther,","David Listenbee, Stefan Gordy, Skyler Gordy, Peter Schroeder","GoonRock, Redfoo"
Peaches (Justin Bieber song),,"March 19, 2021","Pop, R&B, pop soul",3:18,Def Jam,"Justin Bieber, Ashton Simmonds, Giveon Evans, Bernard Harvey, Luis Martinez, Jr., Andrew Wotman, Louis Bell, Matthew Sean Leon, Felisha King-Harvey, Aaron Simmonds, Keavan Yazdani","Harv, Shndo"
Penny Lane,,13 February 1967 (1967-02-13),"Psychedelic pop, progressive pop, baroque pop",3:03,", Parlophone,  , 
, Capitol,  ,",Lennon–McCartney,George Martin
People Got to Be Free,,"July 1, 1968",Blue-eyed soul,3:01,Atlantic,"Felix Cavaliere, Eddie Brigati","The Rascals, with, Arif Mardin"
Peppermint Twist,,1961 (1961),Rock and roll,4:05 (Parts 1 and 2 combined),Roulette,"Joey Dee, Henry Glover",
Perfect (Ed Sheeran song),,26 September 2017 (2017-09-26),Pop,4:23,", Asylum, 
, Atlantic,",Ed Sheeran,"Ed Sheeran, Will Hicks"
Permission to Dance,,"July 9, 2021 (2021-07-09)",Dance-pop,3:07,", Big Hit, 
, Sony,","Ed Sheeran, Johnny McDaid, Steve Mac, Jenna Andrews","Steve Mac, Jenna Andrews, Stephen Kirk"
Philadelphia Freedom (song),,28 February 1975 (1975-02-28),"Philly soul, pop, disco",5:385:20 (edited version),"MCA,  , DJM,","Elton John, Bernie Taupin",Gus Dudgeon
Photograph (Ringo Starr song),,24 September 1973,"Rock, pop",4:00,Apple,"Richard Starkey, George Harrison",Richard Perry
Physical (Olivia Newton-John song),,28 September 1981,"Dance-pop, post-disco",3:44,"EMI,  , MCA,","Steve Kipner, Terry Shaddick",John Farrar
Pick Up the Pieces (Average White Band song),,July 1974,"Funk, jazz-funk, R&B","3:59 (album version)
3:00 (single version)",Atlantic,"Roger Ball, Malcolm Duncan, Alan Gorrie, Onnie McIntyre, Hamish Stuart, Robbie McIntosh",Arif Mardin
Pillowtalk (song),,29 January 2016,"Alternative R&B, electronic",3:23,RCA,"Zayn Malik, Levi Lennox, Anthony Hannides, Michael Hannides, Joe Garrett",Levi Lennox
Play That Funky Music,,April 1976,"Funk rock, R&B","5:00 (album version)
3:12 (single/video version)",Epic,Rob Parissi,Rob Parissi
Please Don't Go (KC and the Sunshine Band song),,"July 12, 1979","Soul, R&B",3:43,TK,"Harry Wayne Casey, /, Richard Finch",Harry Wayne Casey / Richard Finch
Please Mr. Postman,,"August 21, 1961","Pop, soul, doo-wop",2:31,Tamla,"Georgia Dobbins, William Garrett, Brianbert (, Brian Holland, &, Robert Bateman, )",Brianbert
Please Please Please (Sabrina Carpenter song),,"June 6, 2024 (2024-06-06)","Country pop, yacht rock",3:06,Island,"Sabrina Carpenter, Amy Allen, Jack Antonoff",Jack Antonoff
Poker Face (song),,"September 23, 2008 (2008-09-23)","Synth-pop, dance-pop",3:58,", Streamline, 
, KonLive, 
, Cherrytree, 
, Interscope,","Stefani Germanotta, Nadir Khayat",RedOne
Pony Time,,January 1961,R&B,2:27,"Parkway,  818","Don Covay, John Berry",
Poor Little Fool,,"June 23, 1958","Country, rock, doo-wop",2:32,"Imperial, [, 3, ]",Sharon Sheeley,"Ricky Nelson, Ozzie Nelson, Jimmie Haskell"
Poor Side of Town,,August 1966,"Baroque pop, orchestral pop","3:48 (album version)
3:03 (single version)",Imperial,"Johnny Rivers, Lou Adler",Lou Adler
Pop Muzik,,16 March 1979,"New wave, art pop, synth-pop, disco",3:21,"MCA, EMI, Sire",Robin Scott,Robin Scott
Positions (song),,"October 23, 2020 (2020-10-23)","Pop, R&B",2:52,Republic,,"London on da Track, Tommy Brown, Mr. Franks"
The Power of Love (Huey Lewis and the News song),,"June 17, 1985","Pop rock, power pop","3:53 (single version)
7:10 (12-inch long version)",Chrysalis,"Huey Lewis, Chris Hayes, Johnny Colla",Huey Lewis and the News
The Power of Love (Jennifer Rush song),,December 1984 (1984-12),Pop,"6:00 (album version)
4:20 (single version)",CBS,,"Gunther Mende, Candy DeRouge"
Praying for Time,,13 August 1990 (1990-08-13),Pop,4:41,Epic,George Michael,George Michael
Private Eyes (song),,August 1981,"Pop, blue-eyed soul",3:29 (album version)3:09 (UK Mix),RCA Records,"Warren Pash, Sara Allen, Janna Allen, and Daryl Hall.","Daryl Hall, John Oates, Neil Kernon"
Promiscuous (song),,"April 25, 2006 (2006-04-25)","Electropop, dance-pop, hip hop","4:02 (album version)
3:41 (radio edit)","Geffen, MMG","Timothy ""Attitude"" Clayton, Tim Mosley, Nelly Furtado, Nate Hills","Timbaland, Danja"
The Promise of a New Day,,"July 5, 1991",Dance-pop,"4:32 (album version)
4:13 (7-inch edit)",Virgin,"Paula Abdul, Peter Lord, Sandra St. Victor, V. Jeffrey Smith","Peter Lord, V. Jeffrey Smith"
Psycho (Post Malone song),,"February 23, 2018 (2018-02-23)",Hip hop,"3:41
3:27 (radio edit)",Republic,"Austin Post, Tyrone Griffin, Louis Bell","Post Malone, Louis Bell"
Quarter to Three,,May 1961,"R&B, Rock & Roll",2:31,Legrand Records,"Gene Barge, Frank J. Guida, Joseph F. Royster, Gary Anderson",Frank J. Guida
Rag Doll (The Four Seasons song),,June 1964,"Pop rock, doo-wop, R&B",2:54,Philips Records,"Bob Crewe, Bob Gaudio",Bob Crewe
Rain on Me (Lady Gaga and Ariana Grande song),,"May 22, 2020 (2020-05-22)","House, dance-pop, disco",3:02,Interscope,"Lady Gaga, BloodPop, Ariana Grande, Matthew Burns, Nija Charles, Rami Yacoub, Martin Bresso, Alexander Ridha","BloodPop, Burns"
Raindrops Keep Fallin' on My Head,,October 1969,"Pop, soft rock",3:02,Scepter,"Burt Bacharach, Hal David","Burt Bacharach, Hal David"
Raise Your Glass,,"October 5, 2010",Pop rock,3:23,LaFace,"Alecia Moore, Max Martin, Johan Schuster","Max Martin, Shellback"
Rapstar,,"April 9, 2021",Trap,2:45,Columbia,"Taurus Bartlett, Einer Bankz, Alexander Wu","Einer Bankz, Synco"
Rapture (Blondie song),,"January 12, 1981","New wave, hip hop, pop, post-disco, rap rock",6:31,Chrysalis,"Debbie Harry, Chris Stein",Mike Chapman
Reach Out I'll Be There,,"August 18, 1966 (1966-08-18)",Soul,3:01,Motown,"Holland–Dozier–Holland, [, 2, ]","Brian Holland, Lamont Dozier, [, 2, ]"
Reason to Believe,,July 1971,,4:10,Mercury,Tim Hardin,Rod Stewart
Red Red Wine,,1967 (1967),"Soft rock, folk rock",2:42,Bang,Neil Diamond,"Jeff Barry, Ellie Greenwich"
The Reflex,,16 April 1984 (1984-04-16),"Dance-pop, synth-pop, new wave, funk","5:29 (album version)
4:25 (single version)",", EMI, 
, Capitol,","Simon Le Bon, John Taylor, Roger Taylor, Andy Taylor, Nick Rhodes","Duran Duran, Alex Sadkin, Ian Little"
Release Me (Wilson Phillips song),,June 1990,"Pop, easy listening","4:56 (album version)
3:50 (single edit)",SBK,Wilson Phillips,Glen Ballard
Respect (song),,1965,Soul,2:05,Volt,Otis Redding,Steve Cropper
Reunited (song),,March 1979 (1979-03),"R&B, soft rock, disco, smooth soul",5:46,Polydor,"Dino Fekaris, Freddie Perren",Freddie Perren
Rhinestone Cowboy,,"May 26, 1975","Country, symphonic pop",3:15,Capitol,"Larry Weiss, [, 2, ]","Dennis Lambert, Brian Potter"
Rich Girl (Hall & Oates song),,January 1977 (1977-01),"Rock, Philadelphia soul, blue-eyed soul, pop",2:23,RCA Victor,Daryl Hall,Christopher Bond
Rich Men North of Richmond,,"August 8, 2023 (2023-08-08)",Country,3:07,Self-released,Oliver Anthony,Oliver Anthony
Ridin',,"November 12, 2005",Hip hop,5:024:08 (radio edit),"Universal, Chamillitary","Hakeem Seriki, Juan Salinas & Oscar Salinas, Anthony Henderson",Play-N-Skillz
Right Here Waiting,,"June 29, 1989 (1989-06-29)",Soft rock,"4:06 (UK 45 Version)
4:28 (Album/Single Version)",EMI,"Richard Marx, Bruce Gaitsch","Richard Marx, David Cole"
Right Round,,"January 27, 2009","Pop-rap, EDM, electropop",3:27,"Poe Boy, Atlantic","Flo Rida, Dr. Luke, Kool Kojak, DJ Frank E, Philip Lawrence, Bruno Mars, Aaron Bay-Schuck, Pete Burns, Steve Coy, Wayne Hussey, Tim Lever, Mike Percy","Dr. Luke, Kool Kojak"
Ring My Bell,,1979,"Disco, dance","4:28 (album)3:30 (7"" single)8:11 (12"")","Juana Records,",Frederick Knight,Frederick Knight
Ringo (song),,October 1964,Country,3:14,RCA Victor,"Don Robertson, Hal Blair",
Rise (instrumental),,"July 20, 1979","Jazz-funk, disco",7:40 (album version)3:50 (single version),A&M,"Andy Armer, Randy Alpert","Herb Alpert, Randy Alpert"
Roar (song),,"August 10, 2013 (2013-08-10)",Power pop,3:43,Capitol,"Katy Perry, Lukasz Gottwald, Max Martin, Bonnie McKee, Henry Walter","Dr. Luke, Max Martin, Cirkut"
Rock Me Amadeus,,May 1985,"Neue Deutsche Welle, synth-pop, dance-pop, hip hop",3:22,A&M,"Falco, Rob Bolland, Ferdi Bolland",Bolland & Bolland
Rock Me Gently (Andy Kim song),,"June 22, 1974","Pop rock, proto-disco",3:24,Capitol Records,Andy Kim,Andy Kim
Rock On (David Essex song),,August 1973,"Glam rock, rockabilly, dub, avant-pop",3:24,Columbia,David Essex,Jeff Wayne
Rock the Boat (The Hues Corporation song),,May 1974,"Disco, soul, R&B","3:22 (album version)
3:06 (single version)",RCA Records,Wally Holmes,John Florez
Rock with You,,October 1979,"Disco, funk, pop","3:38 (album version)
3:20 (single/video version)",Epic,Rod Temperton,Quincy Jones
Rock Your Baby,,May 1974,Disco,"3:14 (7"" version)
6:24 (album version)",", TK, 
, Jay Boy,  , [, 4, ],","Harry Wayne Casey, Richard Finch","Harry Wayne Casey, Richard Finch"
Rock'n Me,,"August 1976 (US)
October 1976 (UK)","Pop rock, rock",3:05,Capitol,Steve Miller,Steve Miller
Rockin' Around the Christmas Tree,,"November 24, 1958 (US),December 1962 (UK)","Rockabilly, Christmas",2:02,"Decca,  9-30776",Johnny Marks,Owen Bradley
Rockstar (DaBaby song),,"April 17, 2020","Hip hop, trap",3:01,", Interscope, 
, SCMG,","Jonathan Kirk, Rodrick Moore Jr., Ross Portaro IV",SethInTheKitchen
Rockstar (Post Malone song),,"September 15, 2017",Trap,"3:38 (album version)
3:12 (radio edit)",Republic,"Austin Post, Shayaa Abraham-Joseph, Louis Bell, Olufunmibi Awoshiley, Carl Rosen, Jo-Vaughn Scott","Tank God, Louis Bell"
Roll with It (Steve Winwood song),,May 1988,"Funk, R&B",4:30 (single/video edit)5:20 (album version),Virgin,"Steve Winwood, Will Jennings, Holland-Dozier-Holland","Steve Winwood, Tom Lord-Alge"
Rolling in the Deep,,29 November 2010 (2010-11-29),"Rhythm and blues, soul",3:48,"XL, Columbia","Adele Adkins, Paul Epworth",Paul Epworth
Romantic (song),,"August 23, 1991","Dance-pop, new jack swing",4:07,Warner Bros.,"Jimmy Jam and Terry Lewis, Karyn White",Jimmy Jam and Terry Lewis
Roses Are Red (My Love),,"April 6, 1962",Traditional pop,2:38,Epic,"Paul Evans, Al Byron",Robert Morgan
Royals (song),,3 June 2013 (2013-06-03),"Art pop, electropop, alternative pop",3:10,Universal,"Ella Yelich-O'Connor, Joel Little",Joel Little
Ruby Tuesday (song),,13 January 1967,"Baroque pop, psychedelic pop, psychedelic soul",3:12,", Decca,  , 
, London,  ,",Jagger–Richards,Andrew Loog Oldham
Rude (song),,"October 11, 2013 (2013-10-11)",Reggae fusion,3:44,"Latium, RCA, Sony","Nasri Atweh, Adam Messinger, Mark Pellizzer, Ben Spivak, Alex Tanas",Adam Messinger
Rude Boy (Rihanna song),,"February 5, 2010 (2010-02-05)","Reggae, dancehall, electro, -, R&B",3:43,", Def Jam, 
, SRP,","Robyn Fenty, Mikkel S. Eriksen, Tor Erik Hermansen, Ester Dean, Makeba Riddick, Rob Swire","Stargate, Travis George"
Run It!,,"June 30, 2005 (2005-06-30)",,3:50,Jive,"Scott Storch, Sean Garrett, LaRon James",Storch
Runaround Sue,,September 1961,"Rock and roll, doo wop, pop",2:41,Laurie,"Dion DiMucci, Ernie Maresca",Gene Schwartz
Runaway (Del Shannon song),,"February 18, 1961 (1961-02-18)",Rock and Roll,2:20,BigTop,"Del Shannon, Max Crook",Harry Balk
Running Bear,,August 1959,"Rockabilly, rock and roll",2:38,"Mercury, [, 4, ]","J. P. Richardson, [, 4, ]","Bill Hall, [, 4, ]"
Running Scared (Roy Orbison song),,March 1961,"Orchestral pop, rock",2:10,"Monument,  438","""Running Scared"":, Roy Orbison, Joe Melson, ""Love Hurts"":, Boudleaux Bryant",Fred Foster
Rush Rush (Paula Abdul song),,"April 24, 1991 (1991-04-24)","Pop, R&B",4:56,Virgin,Peter Lord,Peter Lord & Vernon Jeffrey Smith
Sad Eyes (Robert John song),,April 1979,"Soft rock, doo-wop",4:12 (Album Version)3:30 (Single Edit),EMI America,Robert John,"George Tobin, in association with, Mike Piccirillo"
Sad!,,"March 2, 2018","Emo rap, pop rap, alternative R&B",2:46,"Bad Vibes Forever, Caroline","Jahseh Onfroy, John Cunningham",John Cunningham
Sailing (Christopher Cross song),,"May 27, 1980 (Charted June 14)","Soft rock, yacht rock",4:14,Warner Bros.,Christopher Cross,Michael Omartian
St. Elmo's Fire (Man in Motion),,13 June 1985,"Rock, pop rock",4:08,Atlantic,"David Foster, John Parr",David Foster
Na Na Hey Hey Kiss Him Goodbye,,November 1969,Pop,4:08 (LP version)6:20 (long version)3:45 (45 version)2:59 (45 radio version),"Fontana,  F 1667","Paul Leka, Gary DeCarlo, Dale Frashuer",Paul Leka
Need You Tonight,,21 September 1987 (1987-09-21),"Funk rock, dance-rock, new wave",3:00,WEA,"Andrew Farriss, Michael Hutchence",Chris Thomas
"Nel blu, dipinto di blu (song)",,1 February 1958 (1958-02-01),"Pop, chanson",3:29,", Fonit,  , 
, Decca,  , 
, Oriole international,  ,",,
Never Gonna Give You Up,,27 July 1987,"Dance-pop, synth-pop, blue-eyed soul","3:35 (album version)
3:32 (7"" vocal mix)
3:30 (instrumental version)",", RCA, 
, PWL, 
, BMG,",Stock Aitken Waterman,Stock Aitken Waterman
New Kid in Town,,"December 7, 1976","Yacht rock, country rock",5:04 (album version)4:49 (single version),Asylum,"Don Henley, Glenn Frey, JD Souther",Bill Szymczyk
The Next Time I Fall,,September 1986,Pop,"3:47 (remix) 
3:46 (album version)

4:30 (extended version)",Warner Bros.,"Bobby Caldwell, Paul Gordon",Michael Omartian
Nice & Slow,,"January 6, 1998 (1998-01-06)","R&B, soul",3:48,"LaFace, Arista","Brian Casey, Manuel Seal Jr., Jermaine Dupri, Usher Raymond",Jermaine Dupri
Nice for What,,"April 6, 2018 (2018-04-06)",Bounce,3:30,", Young Money, 
, Cash Money, 
, Republic,","Aubrey Graham, Shane Lindstrom, Alan Bergman, Marilyn Bergman, Dennis Coles, Robert Diggs, Gary Grice, Marvin Hamlisch, Lamont Hawkins, Lauryn Hill, Jason Hunter, Russell Jones, Clifford Smith, Corey Woods, Orville Hall, Phillip Price","40, Murda Beatz, Corey Litwin, Blaqnmild (, co., )"
The Night Chicago Died,,15 June 1974,Pop rock,3:30,"Bus Stop , , Philips,  , , Polydor,  , , Mercury,  , , Nippon Phonogram,  , , EMI,","Peter Callander, Mitch Murray","Peter Callander, Mitch Murray"
Night Fever,,January 1978 (US),Disco,3:32,RSO,"Barry Gibb, Robin Gibb, Maurice Gibb","Bee Gees, Albhy Galuten, Karl Richardson"
The Night the Lights Went Out in Georgia,,7 November 1972,Country pop,3:40,Bell,Bobby Russell,Snuff Garrett
No Diggity,,"July 29, 1996 (1996-07-29)","R&B, hip hop",5:03 (album version)4:27 (music video),Interscope,"Teddy Riley, Chauncey Hannibal, Lynise Walters, Andre Young, William Stewart, Bill Withers, Richard Vick","Teddy Riley, William ""Skylz"" Stewart"
No More Tears (Enough Is Enough),,October 1979 (1979-10),"Disco, soul","4:39 (radio edit)
8:19 (Wet album version)
11:43 (On the Radio/12"" version)",", Columbia, 
, Casablanca,","Paul Jabara, Bruce Roberts","Gary Klein, Giorgio Moroder, Harold Faltermeyer, (Summer 12"" version)"
No One (Alicia Keys song),,"October 9, 2007 (2007-10-09)",R&B,4:13,J,"Alicia Keys, Kerry Brothers Jr., George M. Harry","Alicia Keys, Kerry ""Krucial"" Brothers"
No Scrubs,,"February 2, 1999 (1999-02-02)","R&B, hip-pop","3:39 (album version)
3:59 (Left Eye rap remix)",", LaFace, 
, Arista,","Kevin ""She'kspere"" Briggs, Kandi Burruss, Tameka ""Tiny"" Cottle, Lisa Lopes",She'kspere
No Sugar Tonight/New Mother Nature,,March 1970 (1970-03),"Blues rock, psychedelic rock","4:52 (album version with ""New Mother Nature"")
2:04 (single w/o ""New Mother Nature"")",RCA Victor,"Burton Cummings, Randy Bachman",Jack Richardson
Not Afraid,,"April 27, 2010 (2010-04-27)",Hip hop,4:10 (album version) 3:54 (without first chorus),"Aftermath, Shady, Interscope","Marshall Mathers, Drake Cooper, Luis Resto, Matthew Samuels, Jordan Evans, Matthew Burnett","Boi-1da, Jordan Evans (add.), Matthew Burnett (add.), Eminem (add.)"
Not Like Us,,"May 4, 2024 (2024-05-04)",West Coast hip hop,4:33,Interscope,,"Mustard, Sounwave, Sean Momberger"
Nothin' on You,,"December 15, 2009 (2009-12-15)","Pop rap, R&B, Southern hip hop","4:29 (album version)
3:42 (radio edit)",", Rebel Rock, 
, Grand Hustle, 
, Atlantic,","Bobby Simmons, Jr., Bruno Mars, Philip Lawrence, Ari Levine",The Smeezingtons
Nothing Compares 2 U,,8 January 1990,Pop,5:10,Chrysalis,Prince,"Sinéad O'Connor, Nellee Hooper, • Chris Birkett"
Nothing from Nothing,,"August 5, 1974 (August 5, 1974)","Soul, pop",2:38,A&M,"Billy Preston, Bruce Fisher",Billy Preston
Nothing's Gonna Stop Us Now,,"January 19, 1987","Soft rock, synth-rock",4:29,", Grunt, 
, RCA,","Diane Warren, Albert Hammond",Narada Michael Walden
Ode to Billie Joe,,July 1967,Country,4:15,Capitol,Bobbie Gentry,"Kelly Gordon, Bobby Paris"
Oh Girl,,"March 2, 1972","R&B, soul","3:43 (album version)
3:16 (single edit)",Brunswick,Eugene Record,Eugene Record
Oh Sheila,,1985 (1985),"Synth-funk, electropop","4:00 (album version)
3:36 (single version)",MCA,"Melvin Riley Jr., Gordon Strozier, Gerald Valentine",Ready for the World
"Oh, Pretty Woman",,"August 15, 1964","Rock and roll, country",2:55,Monument,"Roy Orbison, Bill Dees",Fred Foster
Old Town Road,,"December 3, 2018 (2018-12-03) (original)April 5, 2019 (Billy Ray Cyrus remix)","Country rap, country trap, Southern hip hop",1:53 (original version)2:37 (Billy Ray Cyrus remix),Columbia,"Montero Hill, Trent Reznor, Atticus Ross, Kiowa Roukema","YoungKio, Trent Reznor, Atticus Ross"
OMG (Usher song),,"March 22, 2010","Dance-pop, electropop, R&B","4:45 (album version w/o will.i.am)
4:28 (radio edit)",LaFace,William Adams,will.i.am
On Bended Knee,,"November 11, 1994",R&B,5:29,Motown,Jimmy Jam and Terry Lewis,Jimmy Jam and Terry Lewis
On My Own (Patti LaBelle and Michael McDonald song),,"February 23, 1986",Pop,4:50,MCA,"Burt Bacharach, Carole Bayer Sager","Burt Bacharach, Carole Bayer Sager"
One Bad Apple,,"November 14, 1970",Bubblegum,2:45,MGM,George Jackson,
One Dance,,"April 5, 2016","Dancehall, afrobeats, pop, UK funky",2:53,"Young Money, Cash Money, Republic","Aubrey Graham, Paul Jefferies, Ayodeji Balogun, Noah Shebib, Errol Reid, Luke Reid, Kyla Smith, Corey Johnson, Logan Sama, [, 1, ]","Nineteen85, 40, WizKid, Sarz, DJ Maphorisa"
One More Night (Maroon 5 song),,"June 19, 2012 (2012-06-19)","Pop rock, reggae rock, electropop",3:39,A&M Octone,"Adam Levine, Shellback, Max Martin, Savan Kotecha","Shellback, Max Martin"
One More Night (Phil Collins song),,"24 January 1985 (US)
1 April 1985 (UK)",Soft rock,"4:51
4:22 (7"" version)",", Atlantic, 
, Virgin,",Phil Collins,"Phil Collins, Hugh Padgham"
One More Try (George Michael song),,11 April 1988 (1988-04-11),Blue-eyed soul,5:52,Columbia,George Michael,George Michael
One More Try (Timmy T song),,"October 24, 1990 (1990-10-24)","Pop, freestyle",3:29,"Quality, , Pump",Timothy Torres,Timothy Torres
One of These Nights (Eagles song),,"May 19, 1975","Rock, country rock, R&B, disco",4:55 (album)3:28 (single),Asylum,"Don Henley, Glenn Frey",Bill Szymczyk
One Sweet Day,,"November 14, 1995 (1995-11-14)","Pop, R&B",4:42,Columbia,,"Walter Afanasieff, Mariah Carey"
The One That You Love,,30 April 1981,Soft rock,4:17,Arista,Graham Russell,Harry Maslin
One Week (song),,"September 15, 1998 (1998-09-15)","Alternative rock, pop, rap rock, pop rock",2:48,Reprise,Ed Robertson,"Barenaked Ladies, David Leonard, Susan Rogers"
Only Girl (In the World),,"September 10, 2010 (2010-09-10)","Dance-pop, Eurodance",3:55,"Def Jam, SRP","Crystal Johnson, Mikkel S. Eriksen, Tor Erik Hermansen, Sandy Wilhelm","Stargate, Sandy Vee, Kuk Harrell"
Open Your Heart (Madonna song),,"November 12, 1986",Dance-pop,4:13,", Sire, 
, Warner Bros.,","Madonna, Gardner Cole, Peter Rafelson","Madonna, Patrick Leonard"
Opposites Attract,,"November 17, 1989 (1989-11-17)","Minneapolis funk, new jack swing, R&B","4:25 (album version)
3:45 (single version)",Virgin,Oliver Leiber,Oliver Leiber
Our Day Will Come,,December 1962,"R&B, bossa nova",2:32,Kapp,"Bob Hilliard, Mort Garson",Allen Stanton
Out of Touch,,"October 4, 1984","Dance-rock, synth-pop, new wave","4:21 (album version)
3:55 (single version)
4:33 (video version)",RCA Victor,"Daryl Hall, John Oates","Daryl Hall & John Oates, Bob Clearmountain"
Over and Over (Bobby Day song),,1958,Doo-wop,2:20,Class,Robert James Byrd,
Owner of a Lonely Heart,,24 October 1983 (1983-10-24),"Electronic rock, dance-rock, progressive pop, new wave","4:27 (album version)
3:50 (single version)
7:05 (extended remix)",Atco,"Trevor Rabin, Jon Anderson, Chris Squire, Trevor Horn",Trevor Horn
