Date,Summary,Aircraft type,Operator,Passengers,Crew,Fatalities,Injuries,Survivors,Name,Year,Link,Location,Latitude,Longitude,Onboard,Death Rate,Injury Rate
"February 21, 1982 (1982-02-21)",In-flight fire due to defective windshield washer/deicer system,De Havilland Canada DHC-6-100 Twin Otter,Pilgrim Airlines,10.0,2.0,1.0,11.0,11.0,Pilgrim Airlines Flight 458,1982,https://en.wikipedia.org/wiki/Pilgrim_Airlines_Flight_458,Scituate Reservoir,41.8106439,-71.59555595504165,12.0,0.08333333333333333,0.9166666666666666
26 August 1982,Runway overrun caused by pilot error compounded by hydroplaning,Boeing 737-200,Southwest Air Lines (now Japan Transocean Air),133.0,5.0,0.0,67.0,138.0,Southwest Air Lines Flight 611,1982,https://en.wikipedia.org/wiki/Southwest_Air_Lines_Flight_611,,,,138.0,0.0,0.4855072463768116
13 September 1982,Aborted take-off,McDonnell Douglas DC-10-30CF,Spantax,381.0,13.0,50.0,111.0,344.0,Spantax Flight 995,1982,https://en.wikipedia.org/wiki/Spantax_Flight_995,Málaga Airport,36.66333,-4.48417,394.0,0.12690355329949238,0.2817258883248731
"June 8, 1982",Controlled flight into terrain due to pilot error,Boeing 727-212,VASP,128.0,9.0,137.0,,0.0,VASP Flight 168,1982,https://en.wikipedia.org/wiki/VASP_Flight_168,"Pacatuba, CE",-3.9841,-38.6180383,137.0,1.0,0.0
11 March 1982,Vertical stabilizer and rudder structural failure during severe clear-air turbulence,De Havilland Canada DHC-6 Twin Otter,Widerøe,13.0,2.0,15.0,,0.0,Widerøe Flight 933,1982,https://en.wikipedia.org/wiki/Wider%C3%B8e_Flight_933,Barents Sea,71.01694,28.35000,15.0,1.0,0.0
22 May 1983 (1983-05-22),Loss of control,Canadair CF-104 Starfighter,Canadian Armed Forces,,1.0,6.0,,1.0,1983 Rhein-Main Starfighter crash,1983,https://en.wikipedia.org/wiki/1983_Rhein-Main_Starfighter_crash,Rhein-Main Air Base,50.0695889,8.6520472,1.0,6.0,0.0
"December 14, 1983 (1983-12-14)",Engine failure on takeoff leading to loss of control,Boeing 707-373C,TAMPA Colombia,0.0,3.0,25.0,15.0,0.0,1983 TAMPA Colombia Boeing 707 crash,1983,https://en.wikipedia.org/wiki/1983_TAMPA_Colombia_Boeing_707_crash,Olaya Herrera Airport,6.213639,-75.59472,3.0,8.333333333333334,5.0
24 December 1983 (1983-12-24),Stalled on approach due to pilot error,Antonov An-24RV,Aeroflot,44.0,5.0,44.0,,5.0,Aeroflot Flight 601,1983,https://en.wikipedia.org/wiki/Aeroflot_Flight_601,Leshukonskoye Airport,64.89718365,45.727138706151194,49.0,0.8979591836734694,0.0
30 August 1983,Controlled flight into terrain caused by pilot error and ATC error,Tupolev Tu-134A,Aeroflot,84.0,6.0,90.0,0.0,0.0,Aeroflot Flight 5463,1983,https://en.wikipedia.org/wiki/Aeroflot_Flight_5463,Alma-Ata Airport,43.3467411,77.0115631,90.0,1.0,0.0
18 November 1983,Hijacking,Tupolev Tu-134A,Aeroflot,57.0,7.0,8.0,,56.0,Aeroflot Flight 6833,1983,https://en.wikipedia.org/wiki/Aeroflot_Flight_6833,Tbilisi,41.6691167,44.9549889,64.0,0.125,0.0
2 June 1983 (1983-06-02),In-flight fire of undetermined origin,McDonnell Douglas DC-9-32,Air Canada,41.0,5.0,23.0,16.0,23.0,Air Canada Flight 797,1983,https://en.wikipedia.org/wiki/Air_Canada_Flight_797,Cincinnati/Northern Kentucky International Airport,39.0489,-84.6678,46.0,0.5,0.34782608695652173
6 June 1983 (1983-06-06),Emergency vertical landing on a container ship due to lack of fuel,BAe Sea Harrier FRS.1,Fleet Air Arm (Royal Navy),0.0,1.0,0.0,0.0,1.0,Alraigo incident,1983,https://en.wikipedia.org/wiki/Alraigo_incident,Atlantic Ocean,26.0745309,-97.160961,1.0,0.0,0.0
"August 21, 1983; 40 years ago (1983-08-21) c. 13:00 PST (UTC+08:00)",,,,,,,,,China Airlines Flight 811,1983,https://en.wikipedia.org/wiki/Assassination_of_Ninoy_Aquino,,,,0.0,0.0,0.0
11 March 1983,Pilot error in bad weather,Douglas DC-9-32,Avensa,45.0,5.0,23.0,10.0,27.0,Avensa Flight 007,1983,https://en.wikipedia.org/wiki/Avensa_Flight_007,Barquisimeto Airport,10.04359305,-69.3561637968819,50.0,0.46,0.2
27 November 1983; 40 years ago (27 November 1983),"Controlled flight into terrain due to pilot error, navigational error, and ATC error",Boeing 747-283B,Avianca,169.0,23.0,181.0,11.0,11.0,Avianca Flight 011,1983,https://en.wikipedia.org/wiki/Avianca_Flight_011,Mejorada del Campo,40.40333,-3.44917,192.0,0.9427083333333334,0.057291666666666664
7 March 1983,Hijacking and subsequent emergency landing and armed intervention,Antonov An-24B,Balkan Bulgarian Airlines,40.0,4.0,1.0,1.0,43.0,Balkan Bulgarian Airlines Flight 013,1983,https://en.wikipedia.org/wiki/Balkan_Bulgarian_Airlines_Flight_013,,,,44.0,0.022727272727272728,0.022727272727272728
16 July 1983,Pilot error in poor visibility,Sikorsky S-61N,British Airways Helicopters,23.0,3.0,20.0,,6.0,1983 British Airways Sikorsky S-61 crash,1983,https://en.wikipedia.org/wiki/1983_British_Airways_Sikorsky_S-61_crash,,49.9233,-6.2483,26.0,0.7692307692307693,0.0
1 July 1983 (1983-07-01),Controlled flight into terrain due to pilot error,Ilyushin Il-62M,Chosonminhang,17.0,6.0,23.0,,0.0,1983 Chosonminhang Il-62 crash,1983,https://en.wikipedia.org/wiki/1983_Chosonminhang_Ilyushin_Il-62_crash,Labé,51.8353906,12.7562841,23.0,1.0,0.0
"July 23, 1983",Fuel exhaustion due to refueling error,Boeing 767-233,Air Canada,61.0,8.0,0.0,10.0,69.0,Gimli Glider / Air Canada Flight 143,1983,https://en.wikipedia.org/wiki/Gimli_Glider,Gimli Industrial Park Airport,50.62889,-97.04389,69.0,0.0,0.14492753623188406
14 September 1983 (1983-09-14),Ground collision,,"CAAC Airlines, Guangzhou division (now China Southern Airlines)",100.0,6.0,11.0,21.0,95.0,1983 Guilin Airport collision,1983,https://en.wikipedia.org/wiki/1983_Guilin_Airport_collision,Guilin Qifengling Airport,25.19347955,110.31654177584991,106.0,0.10377358490566038,0.19811320754716982
23 September 1983,Terrorist bombing inspired by Palestinian Nationalism,Boeing 737-2P6,Gulf Air,107.0,5.0,112.0,,0.0,Gulf Air Flight 771,1983,https://en.wikipedia.org/wiki/Gulf_Air_Flight_771,Jebel Ali,13.3098436,24.0666999,112.0,1.0,0.0
"May 9, 1976 (1976-05-09)",Fuel tank explosion caused by lightning strike; leading to separation of the left wing,Boeing 747-131F,Imperial Iranian Air Force,7.0,10.0,17.0,,0.0,Imperial Iranian Air Force Flight 48,1983,https://en.wikipedia.org/wiki/Imperial_Iranian_Air_Force_Flight_48,Madrid–Barajas Airport,40.4952269,-3.573372944738505,17.0,1.0,0.0
"September 1, 1983","Shot down by the Soviet Air Forces due to navigation error by the pilots, leading to in-flight breakup",Boeing 747-230B,Korean Air Lines,246.0,23.0,269.0,,0.0,Korean Air Lines Flight 007,1983,https://en.wikipedia.org/wiki/Korean_Air_Lines_Flight_007,Sea of Japan,46.567,141.283,269.0,1.0,0.0
7 December 1983,Runway incursion due to inadequate signs and markings,,Iberia,84.0,9.0,93.0,30.0,42.0,Madrid runway disasterIberia Flight 350 · Aviaco Flight 134,1983,https://en.wikipedia.org/wiki/Madrid_runway_disaster,Madrid–Barajas Airport,40.46972,-3.56278,93.0,1.0,0.3225806451612903
18 December 1983 (1983-12-18),Controlled flight into terrain caused by pilot error in inclement weather,Airbus A300B4-120,Malaysian Airline System,233.0,14.0,0.0,,247.0,Malaysian Airline System Flight 684,1983,https://en.wikipedia.org/wiki/Malaysian_Airline_System_Flight_684,Subang International Airport,3.1534833,101.5363833,247.0,0.0,0.0
1 May 1983,Mid-air collision,,106 Squadron Israeli Air Force,,2.0,0.0,,3.0,1983 Negev mid-air collision,1983,https://en.wikipedia.org/wiki/1983_Negev_mid-air_collision,Negev,30.8467,34.8478,2.0,0.0,0.0
"November 28, 1983",Controlled flight into terrain due to pilot error in poor weather[1],Fokker F28 Fellowship 2000,Nigeria Airways,66.0,6.0,53.0,,19.0,Nigeria Airways Flight 250,1983,https://en.wikipedia.org/wiki/Nigeria_Airways_Flight_250,Akanu Ibiam International Airport,6.47389,7.56111,72.0,0.7361111111111112,0.0
8 November 1983 (1983-11-08),"Claimed shootdown, disputed
• Mechanical failure (Official)

• Shootdown (UNITA claim)",Boeing 737-200,TAAG Angola Airlines,126.0,4.0,130.0,0.0,0.0,TAAG Flight 462,1983,https://en.wikipedia.org/wiki/TAAG_Flight_462,Lubango Airport,-14.925853400000001,13.578154582927786,130.0,1.0,0.0
11 July 1983[1],Controlled flight into terrain (CFIT) due to pilot error,Boeing 737-2V2 Advanced,TAME,111.0,8.0,119.0,0.0,0.0,1983 TAME Boeing 737 crash,1983,https://en.wikipedia.org/wiki/1983_TAME_Boeing_737_crash,Ricaurte parish,-2.865361,-78.949861,119.0,1.0,0.0
16 January 1983,Runway undershot in bad weather conditions,Boeing 727-2F2,Turkish Airlines,60.0,7.0,47.0,20.0,20.0,Turkish Airlines Flight 158,1983,https://en.wikipedia.org/wiki/Turkish_Airlines_Flight_158,Ankara Esenboğa Airport,40.113000,32.98000,67.0,0.7014925373134329,0.29850746268656714
"August 24, 1984",Mid-air collision resulting from pilot error,,Wings West Airlines,13.0,2.0,17.0,,0.0,1984 San Luis Obispo mid-air collision,1984,https://en.wikipedia.org/wiki/1984_San_Luis_Obispo_mid-air_collision,"San Luis Obispo, California",35.3540209,-120.375716,15.0,1.1333333333333333,0.0
11 October 1984,Runway incursion due to ATC error,Tupolev Tu-154B-1,Aeroflot,170.0,9.0,178.0,5.0,5.0,Aeroflot Flight 3352,1984,https://en.wikipedia.org/wiki/Aeroflot_Flight_3352,Omsk Airport,54.96667,73.30833,179.0,0.994413407821229,0.027932960893854747
23 December 1984 (1984-12-23),"Uncontained engine failure, in-flight fire",Tupolev Tu-154B-2,Aeroflot,104.0,7.0,110.0,1.0,1.0,Aeroflot Flight 3519,1984,https://en.wikipedia.org/wiki/Aeroflot_Flight_3519,Krasnoyarsk Airport,56.1717,92.4933,111.0,0.990990990990991,0.009009009009009009
18 September 1984 (1984-09-18),Failed take-off followed by runway excursion and crash due to pilot error,Douglas DC-8-55F,Aeroservicios Ecuatorianos (AECA),0.0,4.0,53.0,,0.0,Aeroservicios Ecuatorianos Flight 767-103,1984,https://en.wikipedia.org/wiki/Aeroservicios_Ecuatorianos_Flight_767-103,Mariscal Sucre International Airport,-0.12742195,-78.35663771961843,4.0,13.25,0.0
10 January 1984,Pilot error in bad weather,Tupolev Tu-134,Balkan Bulgarian Airlines,45.0,5.0,50.0,,0.0,1984 Balkan Bulgarian Tupolev Tu-134 crash,1984,https://en.wikipedia.org/wiki/1984_Balkan_Bulgarian_Tupolev_Tu-134_crash,Sofia Vrazhdebna Airport,42.69250,23.47306,50.0,1.0,0.0
5 August 1984,Controlled flight into terrain[1]  due to bad weather[2],Fokker F27-600,Biman Bangladesh Airlines,45.0,4.0,49.0,,0.0,1984 Biman Bangladesh Airlines Fokker F27 crash,1984,https://en.wikipedia.org/wiki/1984_Biman_Bangladesh_Airlines_Fokker_F27_crash,Zia International Airport,23.86000,90.38250,49.0,1.0,0.0
30 August 1984,Uncontained engine failure resulting in an engine fire,Boeing 737-2H7C,Cameroon Airlines,109.0,7.0,2.0,,114.0,Cameroon Airlines Flight 786,1984,https://en.wikipedia.org/wiki/Cameroon_Airlines_Flight_786,Douala International Airport,4.01295545,9.716148871730141,116.0,0.017241379310344827,0.0
"February 3, 1984 (1984-02-03)",Hijacking,Airbus A300B4-203,Cruzeiro do Sul,162.0,14.0,0.0,,176.0,Cruzeiro do Sul Flight 302,1984,https://en.wikipedia.org/wiki/Cruzeiro_do_Sul_Flight_302,Belém,-1.45056,-48.4682453,176.0,0.0,0.0
5 July 1984 (1984-07-05),Terrorist hijacking,Airbus A300,Indian Airlines,254.0,10.0,0.0,,,Indian Airlines Flight 405,1984,https://en.wikipedia.org/wiki/Indian_Airlines_Flight_405,Lahore Airport,31.52139,74.40333,264.0,0.0,0.0
24 August 1984 (1984-08-24),Terrorist hijacking,Boeing 737-2A8,Indian Airlines,,,0.0,,74.0,Indian Airlines Flight 421,1984,https://en.wikipedia.org/wiki/Indian_Airlines_Flight_421,Dubai Airport,25.25278,55.36444,0.0,0.0,0.0
22 March 1984 (1984-03-22),"Fire, Uncontained engine failure",Boeing 737-275,Pacific Western Airlines,114.0,5.0,0.0,27.0,119.0,Pacific Western Airlines Flight 501,1984,https://en.wikipedia.org/wiki/Pacific_Western_Airlines_Flight_501,Calgary International Airport,51.1225,-114.0130,119.0,0.0,0.226890756302521
28 June 1984 (1984-06-28),Controlled flight into terrain,Embraer EMB-110 Bandeirante,TAM – Transportes Aéreos Regionais,16.0,2.0,18.0,,0.0,1984 TAM – Transportes Aéreos Regionais Bandeirante accident,1984,https://en.wikipedia.org/wiki/1984_TAM_%E2%80%93_Transportes_A%C3%A9reos_Regionais_Bandeirante_accident,São Pedro da Aldeia,-22.8384835,-42.1031604,18.0,1.0,0.0
"November 10, 1985 (1985-11-10)",Mid-air collision,,Nabisco Brands Inc.,0.0,2.0,6.0,8.0,0.0,1985 Teterboro collision,1985,https://en.wikipedia.org/wiki/1985_Teterboro_collision,"Teterboro, New Jersey",40.81611,-73.99833,2.0,3.0,4.0
25 November 1985,"Airliner shoot-down, in-flight fire and mid-air break up",Antonov An-12BP,Soviet Air Force,13.0,8.0,21.0,,0.0,1985 Aeroflot Antonov An-12 shoot-down,1985,https://en.wikipedia.org/wiki/1985_Aeroflot_Antonov_An-12_shoot-down,Menongue,-14.6610713,17.6820336,21.0,1.0,0.0
19 December 1985,Hijacking,Antonov An-24,Yakutsk United Air Group division of Aeroflot,46.0,5.0,0.0,,51.0,Aeroflot Flight 101/435,1985,https://en.wikipedia.org/wiki/Aeroflot_Flight_101/435,,,,51.0,0.0,0.0
10 July 1985,Stall due to pilot error and fatigue,Tupolev Tu-154B-2,Aeroflot,191.0,9.0,200.0,,0.0,Aeroflot Flight 5143,1985,https://en.wikipedia.org/wiki/Aeroflot_Flight_5143,Uchkuduk,42.15667,63.55556,200.0,1.0,0.0
1 February 1985 (1985-02-01),"Double engine failure, due to ice ingestion",Tupolev Tu-134A,Aeroflot,74.0,6.0,58.0,,22.0,Aeroflot Flight 7841,1985,https://en.wikipedia.org/wiki/Aeroflot_Flight_7841,Minsk-2 International Airport,53.8791000,28.1951000,80.0,0.725,0.0
23 June 1985 (1985-06-23),Bombing by the Babbar Khalsa,Boeing 747-237B,Air India,307.0,22.0,329.0,,0.0,Air India Flight 182,1985,https://en.wikipedia.org/wiki/Air_India_Flight_182,Waterville,51.0600,-12.817,329.0,1.0,0.0
12 December 1985,"Cause disputed:
Atmospheric icing and overloading leading to stall. (CASB Report)
Onboard explosion of unknown origin brought catastrophic system failures (minority report)
",McDonnell Douglas DC-8-63CF,Arrow Air,248.0,8.0,256.0,,0.0,Arrow Air Flight 1285R,1985,https://en.wikipedia.org/wiki/Arrow_Air_Flight_1285R,Gander International Airport,48.91194,-54.57417,256.0,1.0,0.0
4 September 1985,Shot down while en route,Antonov An-26,Bakhtar Afghan Airlines,47.0,5.0,52.0,,0.0,1985 Bakhtar Afghan Airlines Antonov An-26 shootdown,1985,https://en.wikipedia.org/wiki/1985_Bakhtar_Afghan_Airlines_Antonov_An-26_shootdown,Afghanistan,33.7680065,66.2385139,52.0,1.0,0.0
21 June 1985,Hijacking,Boeing 737-205,Braathens SAFE,116.0,5.0,0.0,0.0,121.0,Braathens SAFE Flight 139,1985,https://en.wikipedia.org/wiki/Braathens_SAFE_Flight_139,"Oslo Airport, Fornebu",,,121.0,0.0,0.0
"22 August 1985, 07:13 BST",Fire on the ground caused by uncontained engine failure,Boeing 737-236 Advanced,British Airtours,131.0,6.0,55.0,15.0,82.0,British Airtours Flight 28M,1985,https://en.wikipedia.org/wiki/1985_Manchester_Airport_disaster,Manchester Airport,53.35111,-2.28167,137.0,0.40145985401459855,0.10948905109489052
"February 19, 1985 (1985-02-19)","High altitude upset and 30,000 ft dive due to spatial disorientation after failure of Engine 4 caused by Pilot Error, and Pilot fatigue",Boeing 747SP-09,China Airlines,251.0,23.0,0.0,24.0,274.0,China Airlines Flight 006,1985,https://en.wikipedia.org/wiki/China_Airlines_Flight_006,Pacific Ocean,-37.0528171,175.9374645,274.0,0.0,0.08759124087591241
"August 2, 1985","Loss of control due to a microburst, resulting in runway undershoot and crash",Lockheed L-1011-385-1 TriStar,Delta Air Lines,152.0,11.0,137.0,25.0,27.0,Delta Air Lines Flight 191,1985,https://en.wikipedia.org/wiki/Delta_Air_Lines_Flight_191,Dallas/Fort Worth International Airport,32.91833,-97.02361,163.0,0.8404907975460123,0.15337423312883436
1 January 1985,Controlled flight into terrain for unknown reasons,Boeing 727-225 Advanced,Eastern Air Lines,19.0,10.0,29.0,,0.0,Eastern Air Lines Flight 980,1985,https://en.wikipedia.org/wiki/Eastern_Air_Lines_Flight_980,Illimani,-16.63611,-67.78917,29.0,1.0,0.0
23–24 November 1985,Hijacking,Boeing 737-266[1],EgyptAir,92.0,6.0,60.0,,38.0,EgyptAir Flight 648,1985,https://en.wikipedia.org/wiki/EgyptAir_Flight_648,Luqa Airport,35.85750,14.47750,98.0,0.6122448979591837,0.0
19 February 1985 (1985-02-19),Controlled flight into terrain due to pilot error,Boeing 727–256,Iberia,141.0,7.0,148.0,,0.0,Iberia Flight 610,1985,https://en.wikipedia.org/wiki/Iberia_Flight_610,Mount Oiz,43.22861,-2.59000,148.0,1.0,0.0
"August 12, 1985",Crashed following in-flight structural failure,Boeing 747SR-46,Japan Air Lines,509.0,15.0,520.0,4.0,4.0,Japan Air Lines Flight 123,1985,https://en.wikipedia.org/wiki/Japan_Air_Lines_Flight_123,Mount Takamagahara,36.00139,138.69389,524.0,0.9923664122137404,0.007633587786259542
24 February 1985,Shoot-down,Dornier 228-100,Alfred Wegener Institute,0.0,3.0,3.0,,0.0,Polar 3,1985,https://en.wikipedia.org/wiki/Polar_3,"Dakhla, Western Sahara",23.63,-15.94,3.0,1.0,0.0
"June 14, 1985",Hijacking,Boeing 727-231,Trans World Airlines,139.0,8.0,1.0,,146.0,Trans World Airlines Flight 847,1985,https://en.wikipedia.org/wiki/Trans_World_Airlines_Flight_847,Greek,53.2271869,-4.134158,147.0,0.006802721088435374,0.0
3 May 1985,Mid-air collisioninvolving ATC errors,,Aeroflot,73.0,6.0,94.0,,0.0,1985 Zolochiv mid-air collision,1985,https://en.wikipedia.org/wiki/1985_Zolochiv_mid-air_collision,Zolochiv,50.2790531,35.9824347,79.0,1.1898734177215189,0.0
12 December 1986,CFIT due to language misunderstanding,Tu-134A,Aeroflot,73.0,9.0,72.0,,10.0,Aeroflot Flight 892,1986,https://en.wikipedia.org/wiki/Aeroflot_Flight_892,,,,82.0,0.8780487804878049,0.0
2 July 1986,In-flight fire,Tupolev Tu-134AK,Aeroflot,86.0,6.0,54.0,38.0,38.0,Aeroflot Flight 2306,1986,https://en.wikipedia.org/wiki/Aeroflot_Flight_2306,,61.200,49.817,92.0,0.5869565217391305,0.41304347826086957
20 October 1986 (1986-10-20),Runway overrun due to pilot recklessness,Tupolev Tu-134A,Aeroflot,87.0,7.0,70.0,,24.0,Aeroflot Flight 6502,1986,https://en.wikipedia.org/wiki/Aeroflot_Flight_6502,Kuibyshev Airport,,,94.0,0.7446808510638298,0.0
18 January 1986,Controlled flight into terrain; cause undetermined,Sud Aviation SE-210 Caravelle III,Aerovías,87.0,6.0,93.0,,0.0,1986 Aerovías Guatemala crash,1986,https://en.wikipedia.org/wiki/1986_Aerov%C3%ADas_Guatemala_air_crash,Flores,-33.583333,-56.833333,93.0,1.0,0.0
May 1986 (1986-05),Foiled terrorist plot,,,,,0.0,0.0,0.0,Air India Flight 112 plot,1986,https://en.wikipedia.org/wiki/Air_India_Flight_112_plot,,40.648,-73.782,0.0,0.0,0.0
3 May 1986 (1986-05-03),Bombing,Lockheed L-1011-100 TriStar 100 (FAA - L-1011-385-1-15),Air Lanka,128.0,20.0,21.0,41.0,127.0,Air Lanka Flight 512,1986,https://en.wikipedia.org/wiki/Air_Lanka_Flight_512,Bandaranaike International Airport,7.1789591,79.88381866572543,148.0,0.14189189189189189,0.27702702702702703
6 November 1986,Mechanical failure,Boeing-Vertol 234LR Chinook,British International Helicopters,44.0,3.0,45.0,2.0,2.0,Sumburgh disaster,1986,https://en.wikipedia.org/wiki/1986_British_International_Helicopters_Chinook_crash,Sumburgh Airport,59.8917,-1.200,47.0,0.9574468085106383,0.0425531914893617
"May 3, 1986 (1986-05-03)",Hijacking,Boeing 747-2R7F/SCD,China Airlines,0.0,3.0,0.0,,3.0,China Airlines Flight 334,1986,https://en.wikipedia.org/wiki/China_Airlines_Flight_334,Guangzhou Baiyun Airport,22.3587383,113.5934439,3.0,0.0,0.0
16 February 1986,Controlled flight into water during go-around,Boeing 737-281,China Airlines,6.0,7.0,13.0,0.0,0.0,China Airlines Flight 2265,1986,https://en.wikipedia.org/wiki/China_Airlines_Flight_2265,Magong,23.5663766,119.5784885,13.0,1.0,0.0
"October 5, 1986",Shoot-down,Fairchild C-123K,"Corporate Air Services, owned by Southern Air Transport",0.0,4.0,3.0,0.0,1.0,Corporate Air Services HPF821,1986,https://en.wikipedia.org/wiki/Corporate_Air_Services_HPF821,"San Carlos, Río San Juan",11.1563219,-84.6295636,4.0,0.75,0.0
5 April 1986,Air crash,Piper PA-23-250 Aztec,,6.0,1.0,5.0,2.0,,1986 Ljósufjöll air crash,1986,https://en.wikipedia.org/wiki/1986_Lj%C3%B3sufj%C3%B6ll_air_crash,Ljósufjöll,64.927,-22.570,7.0,0.7142857142857143,0.2857142857142857
"25 March 1986 (1986-03-25);37 years, 7 months ago",Missing  Search and Rescue Mission Called Off  Crashed[1],Antonov An-32,Indian Air Force,3.0,4.0,1.0,,0.0,1986 Indian Air Force An-32 disappearance,1986,https://en.wikipedia.org/wiki/1986_Indian_Air_Force_An-32_disappearance,Arabian Sea,12.436818800000001,63.00257370438362,7.0,0.14285714285714285,0.0
25 December 1986,"Hijacking, explosion in cockpit leading to crash",Boeing 737-270C,Iraqi Airways,91.0,15.0,63.0,,43.0,Iraqi Airways Flight 163,1986,https://en.wikipedia.org/wiki/Iraqi_Airways_Flight_163,Arar Domestic Airport,30.90477795,41.137719201878,106.0,0.5943396226415094,0.0
3 August 1986,Crashed into the sea in poor weather,de Havilland Canada DHC-6 Series 310 Twin Otter,LIAT,11.0,2.0,13.0,,0.0,LIAT Flight 319,1986,https://en.wikipedia.org/wiki/LIAT_Flight_319,Caribbean Sea,13.137335,-61.218879,13.0,1.0,0.0
"March 31, 1986","In-flight fire due to maintenance error, leading to loss of hydraulic and electrical systems.",Boeing 727-264,Mexicana de Aviacion,159.0,8.0,167.0,,0.0,Mexicana de Aviación Flight 940,1986,https://en.wikipedia.org/wiki/Mexicana_de_Aviaci%C3%B3n_Flight_940,Sierra Madre Occidental,19.834778,-100.307583,167.0,1.0,0.0
19 October 1986,"Controlled flight into terrain due to lack of crew resource management and pilot error, possible intervention by South African troops (disputed)",Tupolev Tu-134A-3,Mozambique Airlines,35.0,9.0,34.0,10.0,10.0,Mozambican Tupolev Tu-134 crash,1986,https://en.wikipedia.org/wiki/1986_Mozambican_Tupolev_Tu-134_crash,,-25.91139,31.95722,44.0,0.7727272727272727,0.22727272727272727
"September 5, 1986",Hijacking,Boeing 747-121,Pan American World Airways,360.0,19.0,21.0,120.0,358.0,Pan Am Flight 73,1986,https://en.wikipedia.org/wiki/Pan_Am_Flight_73,Jinnah International Airport,24.90667,67.16083,379.0,0.055408970976253295,0.316622691292876
16 August 1986 (1986-08-16),Shot-down by SPLA militants,Fokker F-27 Friendship 400M,Sudan Airways,57.0,3.0,60.0,,0.0,1986 Sudan Airways Fokker F-27 shootdown,1986,https://en.wikipedia.org/wiki/1986_Sudan_Airways_Fokker_F-27_shootdown,Malakal Airport,9.5749833,31.6896083,60.0,1.0,0.0
26 October 1986,Gang-related violence,Airbus A300B4-601,Thai Airways International,233.0,14.0,0.0,109.0,247.0,Thai Airways International Flight 620,1986,https://en.wikipedia.org/wiki/Thai_Airways_International_Flight_620,Tosa Bay,,,247.0,0.0,0.44129554655870445
"April 2, 1986",Bombing,Boeing 727-231,Trans World Airlines,115.0,7.0,4.0,7.0,118.0,TWA Flight 840,1986,https://en.wikipedia.org/wiki/TWA_Flight_840_bombing,"Argos, Greece",37.6349668,22.7285084,122.0,0.03278688524590164,0.05737704918032787
28 January 1986 (1986-01-28),"Take-off attempt on taxiway, runway excursion",Boeing 737-2A1,VASP,67.0,5.0,1.0,9.0,70.0,VASP Flight 210,1986,https://en.wikipedia.org/wiki/VASP_Flight_210,São Paulo/Guarulhos International Airport,-23.43779495,-46.481320528800595,72.0,0.013888888888888888,0.125
15 October 1987,"Disputed- pilot error (ATR), icing and design Flaw (Investigators)",ATR 42-312,Aero Trasporti Italiani,34.0,3.0,37.0,,0.0,Aero Trasporti Italiani Flight 460,1987,https://en.wikipedia.org/wiki/Aero_Trasporti_Italiani_Flight_460,Italy,42.6384261,12.674297,37.0,1.0,0.0
"19 June 1987, 11:22 local time","Runway overrun on landing, followed by attempted and then aborted go-around, pilot error",Yakovlev Yak-40,Aeroflot,24.0,5.0,8.0,,21.0,Aeroflot Flight N-528,1987,https://en.wikipedia.org/wiki/Aeroflot_Flight_N-528,Berdyansk Airport,46.8144,36.7875,29.0,0.27586206896551724,0.0
13 April 1987 (1987-04-13),Wake turbulence,Yakovlev Yak-40,Aeroflot,5.0,4.0,9.0,,0.0,Aeroflot Flight U-505,1987,https://en.wikipedia.org/wiki/Aeroflot_Flight_U-505,Tashkent Airport,41.269818,69.2657861,9.0,1.0,0.0
24 July 1987 (1987-07-24),Hijacked and diverted; presumably by the Popular Front for the Liberation of Palestine,McDonnell Douglas DC-10-30,Air Afrique,143.0,15.0,1.0,30.0,157.0,Air Afrique Flight 056,1987,https://en.wikipedia.org/wiki/Air_Afrique_Flight_056,Geneva Airport,46.23639,6.10722,158.0,0.006329113924050633,0.189873417721519
19 May 1987,Hijacking,Boeing 747-200,Air New Zealand,105.0,24.0,0.0,,129.0,Air New Zealand Flight 24,1987,https://en.wikipedia.org/wiki/Air_New_Zealand_Flight_24,Nadi International Airport,-17.762453299999997,177.43747042786867,129.0,0.0,0.0
8 December 1987,Pilot error,Fokker F27,Servicio Aeronaval de la Marina del Peru (charter),38.0,6.0,43.0,,1.0,1987 Alianza Lima air disaster,1987,https://en.wikipedia.org/wiki/1987_Alianza_Lima_plane_crash,Ventanilla District,-11.967,-77.160,44.0,0.9772727272727273,0.0
"May 8, 1987 (1987-05-08)","Improper maintenance, pilot error",CASA C-212 Aviocar,Executive Air Charter dba American Eagle,4.0,2.0,2.0,4.0,4.0,American Eagle Flight 5452,1987,https://en.wikipedia.org/wiki/American_Eagle_Flight_5452,Eugenio María de Hostos Airport,18.2536,-67.1566,6.0,0.3333333333333333,0.6666666666666666
30 July 1987,Crashed onto highway due to cargo shift and gear malfunction which led to a low climb rate,Boeing C-97G Stratofreighter,Belize Air International,8.0,4.0,49.0,20.0,7.0,1987 Mexico City air disaster,1987,https://en.wikipedia.org/wiki/1987_Belize_Air_International_C-97_Mexico_City_crash,,,,12.0,4.083333333333333,1.6666666666666667
